province,year,public_charging_piles,source_id,source_level,source_name,source_url,cross_check_url,access_date,note
上海,2017,26314,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
北京,2017,30363,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
天津,2017,9788,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
安徽,2017,9909,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
山东,2017,17557,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
广东,2017,29262,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
江苏,2017,22075,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
河北,2017,9875,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
浙江,2017,9866,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
湖北,2017,6214,SRC_CP_38BD2FC3,B,中国汽车工业协会/人民网,https://people.com.cn,,2026-03-24,充电联盟数据
上海,2018,40000,SRC_CP_3C9A5899,B,中国汽车工业协会/caam.org.cn,https://www.caam.org.cn,,2026-03-24,充电联盟数据
北京,2018,42000,SRC_CP_3C9A5899,B,中国汽车工业协会/caam.org.cn,https://www.caam.org.cn,,2026-03-24,充电联盟数据
天津,2018,11700,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
安徽,2018,10965,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
山东,2018,20288,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
广东,2018,34628,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
江苏,2018,28954,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
河北,2018,11323,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
浙江,2018,13199,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
湖北,2018,8408,SRC_CP_INEN_2018AUG_TOP10,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2026-03-24,截至2018年8月，公共类充电桩TOP10省份数据
上海,2019,55000,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
北京,2019,59000,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
四川,2019,10017,SRC_CP_2074B746,C,国际能源网,https://www.in-en.com,https://www.evcipa.org.cn/,2026-03-24,截至2019年6月
安徽,2019,23198,SRC_CP_2074B746,C,国际能源网,https://www.in-en.com,https://www.evcipa.org.cn/,2026-03-24,截至2019年10月
广东,2019,63000,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
江苏,2019,61000,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
浙江,2019,33188,SRC_CP_B3778A81,A,澎湃新闻引用浙江省政府数据,https://www.thepaper.cn,,2026-03-24,截至2019年底
上海,2020,82042,SRC_CP_17F56B34,C,智研咨询/chyxx.com,https://www.chyxx.com,https://www.evcipa.org.cn/,2026-03-24,引用充电联盟数据
