year,national_nev_buses,national_bev_buses,data_type,source_level,source_name,source_url,source_id,cross_check_url,access_date,note
2012,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2013,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2014,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2015,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2016,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2017,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2018,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2019,,324464.0,纯电动（由公报总量×占比计算）,A,交通运输部《2019年交通运输行业发展统计公报》,https://xxgk.mot.gov.cn/jigou/zhghs/202006/t20200630_3321335.html,SRC_NB_MOT_2019_DERIVED,,2026-03-24,公报给出“公共汽电车69.33万辆，纯电动车占46.8%”；此处做确定性换算为辆（非插值/外推）
2020,,,,,,,,,,未检索到可自由访问且可核验的官方数值
2021,,419500.0,纯电动,A,交通运输部《2021年交通运输行业发展统计公报》,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202205/t20220524_3656659.html,SRC_NB_MOT_2021,,2026-03-24,原文：纯电动车41.95万辆（年末）
2022,529000.0,455500.0,新能源/纯电动,A,交通运输部《2022年交通运输行业发展统计公报》,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202306/t20230615_3847023.html,SRC_NB_MOT_2022,,2026-03-24,原文：新能源公交车52.9万辆，其中纯电动车45.55万辆（年末）
2023,,473900.0,纯电动,A,交通运输部《2023年交通运输行业发展统计公报》,https://www.mot.gov.cn/,SRC_NB_MOT_2023_LOCALTXT,,2026-03-24,证据文件：mot_2023_stat_bulletin.txt；原文“纯电动车47.39万辆（年末）”
