province,year,transport_value_added_100m_cny,total_generation_100m_kwh,hydro_generation_100m_kwh,thermal_generation_100m_kwh,clean_generation_100m_kwh,hydro_share,clean_power_ratio,nev_stock_10k,gasoline_consumption_10k_ton,diesel_consumption_10k_ton,fuel_total_10k_ton,diesel_share_in_fuel,fuel_intensity_per_100m_cny,public_charging_piles,national_bev_buses
上海市,2012,909.9,886.2,0.0,882.45,3.75,0.0,0.0042315504400812,,112.98,197.87,310.85,0.6365449573749397,0.3416309484558743,,
上海市,2013,951.8,958.77,0.0,951.51,7.259999999999991,0.0,0.0075722018836634,,117.07,194.93,312.0,0.6247756410256411,0.3277999579743644,,
上海市,2014,1067.0,792.3,0.0,787.17,5.129999999999996,0.0,0.0064748201438848,,125.48,188.26,313.74,0.600050997641359,0.2940393626991565,,
上海市,2015,1148.0,793.0,0.0,785.18,7.82000000000005,0.0,0.0098612862547289,,120.63,201.47,322.1,0.6254889785780813,0.2805749128919861,,
上海市,2016,1259.6,807.29,0.0,800.14,7.149999999999977,0.0,0.0088567924785392,,138.63,213.47,352.1,0.6062766259585345,0.2795331851381391,,
上海市,2017,1387.3,859.25,0.0,841.99,17.25999999999999,0.0,0.0200872854233342,,131.49,201.75,333.24,0.6054195174648902,0.2402075974915303,26314.0,
上海市,2018,1623.1,839.7,0.0,823.75,15.950000000000044,0.0,0.0189948791234965,,64.73,190.93,255.66000000000005,0.7468121724164906,0.1575134002834083,40000.0,
上海市,2019,1548.2,822.13,0.0,797.45,24.67999999999995,0.0,0.0300195832775837,,63.5,205.93,269.43,0.7643172623687043,0.1740279033716574,55000.0,324464.0
上海市,2020,1387.6,861.74,0.0,832.98,28.75999999999999,0.0,0.0333743356464826,,55.9,197.93,253.83,0.7797738643974313,0.1829273565869126,82042.0,
上海市,2021,1776.0,1003.06,0.0,969.37,33.68999999999994,0.0,0.0335872230973221,,60.9,209.93,270.83,0.7751356939777722,0.1524943693693693,76118.0,419500.0
上海市,2022,1701.5,954.97,0.0,912.6,42.370000000000005,0.0,0.0443678859021749,99.89736334706105,61.1,174.03,235.13,0.7401437502658105,0.1381898325007346,122000.0,455500.0
上海市,2023,1721.9,1006.63,0.0,959.05,47.58000000000004,0.0,0.0472666222941895,128.8442,,,,,,196000.0,473900.0
云南省,2012,457.5,1533.9,1038.11,468.5,1065.4,0.6767781472064671,0.6945693982658583,,116.005,467.94,583.9449999999999,0.801342592196183,1.276382513661202,,
云南省,2013,532.6,2180.51,1656.34,479.3,1701.2100000000005,0.759611283598791,0.7801890383442406,,132.76,411.32,544.0799999999999,0.7559917659167771,1.0215546376267366,,
云南省,2014,595.8,2550.01,2087.67,391.41,2158.6000000000004,0.8186909070944819,0.846506484288297,,155.7110705,454.33662,610.0476905,0.7447559052762285,1.0239135456529038,,
云南省,2015,655.0,2553.0,2177.57,266.47,2286.53,0.8529455542499021,0.8956247551899725,,133.16,440.97,574.13,0.7680664657830109,0.8765343511450382,,
云南省,2016,745.3,2692.54,2278.15,238.04,2454.5,0.8460969939165249,0.9115927711380332,,137.605293382646,455.219192333926,592.824485716572,0.7678818997897554,0.7954172624668885,,
云南省,2017,894.7,2955.06,2493.43,239.66,2715.4,0.8437832057555514,0.9188984318423316,,137.485576119201,460.654087400315,598.139663519516,0.7701446927792389,0.6685365636744339,,
云南省,2018,1049.4,3240.99,2698.48,291.89,2949.1,0.8326097889842302,0.9099380127677036,,200.18,480.2,680.38,0.7057820629648137,0.6483514389174766,,
