source_id,variable,source_level,source_name,source_url,cross_check_url,publish_date,access_date,evidence_file,is_primary,note
SRC_CP_17F56B34,charging,C,智研咨询/chyxx.com,https://www.chyxx.com,,,2026-03-24,,0,
SRC_CP_2023_LEADLEO,charging,C,头豹研究院《2023年汽车充电桩行业概览》,https://pdf.dfcfw.com/pdf/H3_AP202401161617522463_1.pdf,,,2026-03-24,,0,
SRC_CP_2074B746,charging,C,国际能源网,https://www.in-en.com,,,2026-03-24,,0,
SRC_CP_291E4567,charging,A,山东省政府官网,https://www.shandong.gov.cn,,,2026-03-24,,1,
SRC_CP_2A7FD5E2,charging,A,人民网引用上海官方数据,https://www.people.com.cn,,,2026-03-24,,1,
SRC_CP_38BD2FC3,charging,B,中国汽车工业协会/人民网,https://people.com.cn,,,2026-03-24,,0,
SRC_CP_3C9A5899,charging,B,中国汽车工业协会/caam.org.cn,https://www.caam.org.cn,,,2026-03-24,,0,
SRC_CP_40421169,charging,B,充电联盟/证券时报,https://www.stcn.com,,,2026-03-24,,0,
SRC_CP_4724F6B8,charging,A,浙江省政府官网,https://www.zj.gov.cn,,,2026-03-24,,1,
SRC_CP_545545D0,charging,C,东方财富网,https://www.dfcfw.com,,,2026-03-24,,0,
SRC_CP_549A5BED,charging,A,新华网/21世纪经济报道,https://www.news.cn,,,2026-03-24,,1,
SRC_CP_63D79C12,charging,A,山东省政府官网/央广网,https://www.shandong.gov.cn,,,2026-03-24,,1,
SRC_CP_661967C2,charging,B,充电联盟/中国电力新闻网,https://www.chinapower.com.cn,,,2026-03-24,,0,
SRC_CP_692A64C9,charging,A,吉林省发改委官网,https://www.jlrd.gov.cn,,,2026-03-24,,1,
SRC_CP_6B0DFCB0,charging,B,充电联盟/国际能源网,https://www.in-en.com,,,2026-03-24,,0,
SRC_CP_6E315413,charging,A,重庆市政府官网,https://www.cq.gov.cn,,,2026-03-24,,1,
SRC_CP_7507F9F7,charging,A,新华网/浙江政府,https://www.news.cn,,,2026-03-24,,1,
SRC_CP_78A89FBA,charging,C,网易/车装网,https://www.163.com,,,2026-03-24,,0,
SRC_CP_7A8B871D,charging,A,人民网引用广西数据,https://www.people.com.cn,,,2026-03-24,,1,
SRC_CP_847BCF18,charging,C,ja750.com,https://www.ja750.com,,,2026-03-24,,0,
SRC_CP_933DC408,charging,A,中国新闻网/湖南政府,https://www.chinanews.com.cn,,,2026-03-24,,1,
SRC_CP_A41A841D,charging,C,深圳市汽车电子行业协会,https://www.szaeia.com,,,2026-03-24,,0,
SRC_CP_AA87611D,charging,C,车装网/汽车之家,https://www.autohome.com.cn,,,2026-03-24,,0,
SRC_CP_B1A03013,charging,C,华尔街见闻,https://wallstreetcn.com,,,2026-03-24,,0,
SRC_CP_B3778A81,charging,A,澎湃新闻引用浙江省政府数据,https://www.thepaper.cn,,,2026-03-24,,1,
SRC_CP_D4115EC5,charging,A,国家能源局,https://www.nea.gov.cn,,,2026-03-24,,1,
SRC_CP_D6D2D410,charging,C,h2weilai.com,https://www.h2weilai.com,,,2026-03-24,,0,
SRC_CP_D7E72999,charging,A,人民网引用海南数据,https://www.people.com.cn,,,2026-03-24,,1,
SRC_CP_E2D033D6,charging,A,人民网引用云南数据,https://www.people.com.cn,,,2026-03-24,,1,
SRC_CP_FE6F0504,charging,A,北京市政府官网,https://www.beijing.gov.cn,,,2026-03-24,,1,
SRC_CP_INEN_2018AUG_TOP10,charging,B,国际充换电网（充电联盟月度发布）,https://chd.in-en.com/html/chd-2317718.shtml,,2018-09-13,2026-03-24,,0,原文给出截至2018年8月公共类充电桩TOP10省份及数量
SRC_CP_INEN_2021AUG_TOP3,charging,C,国际充换电网（中商产业研究院）,https://chd.in-en.com/html/chd-2409805.shtml,,,2026-03-24,,0,文中给出截至2021年8月广东/上海/北京公共桩数量（本轮仅用于补缺省份）
SRC_CP_INEN_2022_TOP10,charging,C,国际新能源网（年终盘点）,https://mnewenergy.in-en.com/html/newenergy-2418053.shtml,,2023-01-16,2026-03-24,,0,文中给出截至2022年12月TOP10省份公共充电桩数值
SRC_CP_SCGOV_2022MAR,charging,A,四川省人民政府（四川日报）,https://www.sc.gov.cn/10462/10464/13298/13302/2022/4/25/35540a6804ff4c29ba7e726381bc29eb.shtml,,2022-04-25,2026-03-24,,1,原文“截至2022年3月，四川公共充电桩总量达到4.2万个”
SRC_CP_SINA_2021DEC_TOP5,charging,C,新浪财经研报（国君电新）,https://finance.sina.com.cn/stock/resreport/2022-01-20/doc-ikyakumy1563680.shtml,,2022-01-20,2026-03-24,,0,文中给出截至2021年12月公共充电桩Top5（含江苏、浙江数值）
SRC_NB_MOT_2019_DERIVED,nev_buses,A,交通运输部《2019年交通运输行业发展统计公报》,https://xxgk.mot.gov.cn/jigou/zhghs/202006/t20200630_3321335.html,,,2026-03-24,,1,公报给出“公共汽电车69.33万辆，纯电动车占46.8%”；此处做确定性换算为辆（非插值/外推）
SRC_NB_MOT_2021,nev_buses,A,交通运输部《2021年交通运输行业发展统计公报》,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202205/t20220524_3656659.html,,,2026-03-24,,1,原文：纯电动车41.95万辆（年末）
SRC_NB_MOT_2022,nev_buses,A,交通运输部《2022年交通运输行业发展统计公报》,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202306/t20230615_3847023.html,,,2026-03-24,,1,原文：新能源公交车52.9万辆，其中纯电动车45.55万辆（年末）
SRC_NB_MOT_2023_LOCALTXT,nev_buses,A,交通运输部《2023年交通运输行业发展统计公报》,https://www.mot.gov.cn/,,,2026-03-24,mot_2023_stat_bulletin.txt,1,证据文件：mot_2023_stat_bulletin.txt；原文“纯电动车47.39万辆（年末）”
