province,year,freight_turnover_100m_tkm
上海市,2012,20373.36566
上海市,2013,14332.707
上海市,2014,18633.35837
上海市,2015,19495.8847
上海市,2016,19317.76079131
上海市,2017,24998.71121332
上海市,2018,28299.85331856
上海市,2019,30324.9015458153
上海市,2020,32794.99581
上海市,2021,34074.59558991
上海市,2022,32369.68911696
上海市,2023,32789.82488474
云南省,2012,1123.35141
云南省,2013,1361.92131
云南省,2014,1445.5753
云南省,2015,1500.2748
云南省,2016,1600.07056
云南省,2017,1824.96016
云南省,2018,1971.9122876
云南省,2019,1552.04805850466
云南省,2020,1579.74462
云南省,2021,1868.28472773
云南省,2022,1999.7439292
云南省,2023,2062.08860701
内蒙古自治区,2012,5870.34231
内蒙古自治区,2013,4461.95848
内蒙古自治区,2014,4471.0767728
内蒙古自治区,2015,4190.3008
内蒙古自治区,2016,4341.74245
内蒙古自治区,2017,5146.75571
内蒙古自治区,2018,5595.97503964
内蒙古自治区,2019,4689.49239389261
内蒙古自治区,2020,4567.3574973
内蒙古自治区,2021,4933.8214662
内蒙古自治区,2022,5220.70796796
内蒙古自治区,2023,5556.14319956
北京市,2012,1001.12637
北京市,2013,1051.1407
北京市,2014,1036.7093
北京市,2015,901.4125
北京市,2016,825.43477
北京市,2017,958.415862
北京市,2018,1034.22183097
北京市,2019,1089.40378250647
北京市,2020,1032.77888
北京市,2021,1077.31190663
北京市,2022,1017.05876016
北京市,2023,1062.59632638
吉林省,2012,1596.10848
吉林省,2013,1681.34804
吉林省,2014,1703.810912
吉林省,2015,1425.3461
吉林省,2016,1478.517705
吉林省,2017,1634.654635
吉林省,2018,1704.71421
吉林省,2019,1802.72721825858
吉林省,2020,1865.05675
吉林省,2021,2068.57547858
吉林省,2022,1873.54981669
吉林省,2023,2012.98620688
四川省,2012,2238.28492
四川省,2013,2248.59825
四川省,2014,2465.1254716
四川省,2015,2387.4394
四川省,2016,2504.11279718
四川省,2017,2696.16962003
四川省,2018,2946.09497412
四川省,2019,2710.83363324808
四川省,2020,2861.31541
四川省,2021,3078.89038234
四川省,2022,3202.04056019
四川省,2023,3434.4251489
天津市,2012,7844.06138
天津市,2013,3097.39451
天津市,2014,3602.375216
天津市,2015,2519.2248
天津市,2016,2302.3199121
天津市,2017,2169.543905
天津市,2018,2240.52556826
天津市,2019,2662.44564442566
天津市,2020,2600.36635
天津市,2021,2677.55614042
天津市,2022,2665.82820919
天津市,2023,2785.84425494
宁夏回族自治区,2012,1065.7404
宁夏回族自治区,2013,873.04868
宁夏回族自治区,2014,836.84359
宁夏回族自治区,2015,816.9267
宁夏回族自治区,2016,819.94078
宁夏回族自治区,2017,753.72197
宁夏回族自治区,2018,627.68472
宁夏回族自治区,2019,650.991097553602
宁夏回族自治区,2020,698.28793
宁夏回族自治区,2021,812.20855764
宁夏回族自治区,2022,873.75326528
宁夏回族自治区,2023,946.62311019
安徽省,2012,9817.82956
安徽省,2013,12335.34164
安徽省,2014,13500.595
安徽省,2015,10402.2515
安徽省,2016,10896.3737
安徽省,2017,11429.77434
安徽省,2018,11803.68283967
安徽省,2019,10245.7925728704
安徽省,2020,10241.66603
安徽省,2021,11068.03874749
安徽省,2022,11281.77466615
安徽省,2023,12097.16305702
山东省,2012,11077.78385
山东省,2013,8194.15413
山东省,2014,8253.025039
山东省,2015,8418.041
山东省,2016,8884.336682
山东省,2017,9719.46451
山东省,2018,10052.195719
山东省,2019,10166.4174130755
山东省,2020,10377.400458
山东省,2021,12049.70139325
山东省,2022,14273.49070572
山东省,2023,15043.17790137
山西省,2012,3341.1349220309
山西省,2013,3592.38456
山西省,2014,3710.8068583
山西省,2015,3438.5456
山西省,2016,3565.45650618
山西省,2017,4185.0326707
山西省,2018,4489.43867569
山西省,2019,5466.47830928526
山西省,2020,5711.76314
山西省,2021,6444.66597593
山西省,2022,6472.99944125
山西省,2023,6877.41671975
广东省,2012,9566.23882
广东省,2013,9228.55089
广东省,2014,14801.029292
广东省,2015,14882.2073
广东省,2016,21801.64989726
广东省,2017,27919.79077233
广东省,2018,28338.32922457
广东省,2019,27373.6730412026
广东省,2020,27211.1177008
广东省,2021,28031.51859966
广东省,2022,28078.1141971
广东省,2023,29304.37496472
广西壮族自治区,2012,4110.64052
广西壮族自治区,2013,3856.37149
广西壮族自治区,2014,4089.65235
广西壮族自治区,2015,4061.8208
广西壮族自治区,2016,4260.41017698
广西壮族自治区,2017,4613.31944
广西壮族自治区,2018,4983.78122
广西壮族自治区,2019,3989.17572848632
广西壮族自治区,2020,4159.60626
广西壮族自治区,2021,4882.04104727
广西壮族自治区,2022,5172.95161131
广西壮族自治区,2023,5589.63048417
新疆维吾尔自治区,2012,1614.49526
新疆维吾尔自治区,2013,1796.78507
新疆维吾尔自治区,2014,1880.91747
新疆维吾尔自治区,2015,1772.9404
新疆维吾尔自治区,2016,1803.87529
新疆维吾尔自治区,2017,2176.34941
新疆维吾尔自治区,2018,2483.86535
新疆维吾尔自治区,2019,1948.18749326473
新疆维吾尔自治区,2020,1708.03182
新疆维吾尔自治区,2021,2000.06839
新疆维吾尔自治区,2022,2503.23781609
新疆维吾尔自治区,2023,2843.31591073
江苏省,2012,7904.05282
江苏省,2013,9924.58898
江苏省,2014,10417.86155
江苏省,2015,8270.2287
江苏省,2016,7653.78314
江苏省,2017,9057.60298
江苏省,2018,8969.29281
江苏省,2019,9947.68340040622
江苏省,2020,10895.72348319
江苏省,2021,11788.59738159
江苏省,2022,11829.26858052
江苏省,2023,13232.13115255
江西省,2012,3433.52632
江西省,2013,3640.13295
江西省,2014,3827.97561
江西省,2015,3753.4804
江西省,2016,3897.75091
江西省,2017,4217.33527
江西省,2018,4528.63219
江西省,2019,3860.27274718216
江西省,2020,4010.77754
江西省,2021,4884.7178123
江西省,2022,5119.75793061
江西省,2023,5348.04637802
河北省,2012,10604.95686
河北省,2013,11674.05798
河北省,2014,12684.469674
河北省,2015,12007.2797
河北省,2016,12332.67839661
河北省,2017,13381.58903049
河北省,2018,13873.03372738
河北省,2019,13563.3819902506
河北省,2020,13729.9548
河北省,2021,14769.49838466
河北省,2022,14234.20753303
河北省,2023,14796.92060444
河南省,2012,9490.25732
河南省,2013,7259.81265
河南省,2014,7401.1163156
河南省,2015,6948.0545
河南省,2016,7383.54107
河南省,2017,8228.699088
河南省,2018,8982.1161388
河南省,2019,8658.53715876462
河南省,2020,8833.22134
河南省,2021,10674.56995085
河南省,2022,11751.16052782
河南省,2023,12228.81978804
浙江省,2012,9183.40633
浙江省,2013,8951.21597
浙江省,2014,9539.7012663
浙江省,2015,9869.7233
浙江省,2016,9789.33499116
浙江省,2017,10106.22843186
浙江省,2018,11538.13713323
浙江省,2019,12391.92412486
浙江省,2020,12324.23777
浙江省,2021,12937.51045779
浙江省,2022,13544.92642283
浙江省,2023,15062.19352139
海南省,2012,1548.05138
海南省,2013,621.04182
海南省,2014,1488.106406
海南省,2015,1181.7285
海南省,2016,1060.75066
海南省,2017,864.256162
海南省,2018,875.82721226
海南省,2019,1648.02797006443
海南省,2020,3683.00282
海南省,2021,8771.75010155
海南省,2022,9963.69643851
海南省,2023,11713.19843132
湖北省,2012,4439.82379
湖北省,2013,4751.83401
湖北省,2014,5503.567013
湖北省,2015,5674.1293
湖北省,2016,5922.866503
湖北省,2017,6344.76418
湖北省,2018,6675.50054509
湖北省,2019,6132.39770057279
湖北省,2020,5294.94795
湖北省,2021,6742.91375418
湖北省,2022,7544.17197131
湖北省,2023,8593.3615034
湖南省,2012,3976.9036
湖南省,2013,3832.32897
湖南省,2014,4138.3637539
湖南省,2015,3895.5281
湖南省,2016,4056.86498918
湖南省,2017,4300.74279
湖南省,2018,4386.562627
湖南省,2019,2593.57774011002
湖南省,2020,2602.19801
湖南省,2021,2897.69865527
湖南省,2022,2931.56971314
湖南省,2023,3036.89999281
甘肃省,2012,2351.69244
甘肃省,2013,2361.97003
甘肃省,2014,2515.4679147
甘肃省,2015,2225.8094
甘肃省,2016,2170.04788138
甘肃省,2017,2439.66142064
甘肃省,2018,2609.93273524
甘肃省,2019,2496.28206567585
甘肃省,2020,2516.70665
甘肃省,2021,2887.30837871
甘肃省,2022,3680.54344285
甘肃省,2023,4245.67847849
福建省,2012,3871.44801
福建省,2013,3939.60953
福建省,2014,4780.2162288
福建省,2015,5447.4859
福建省,2016,6070.58506223
福建省,2017,6779.76443426
福建省,2018,7646.24302779
福建省,2019,8292.13482605729
福建省,2020,9014.32062
福建省,2021,10159.1252866
福建省,2022,11340.30948813
福建省,2023,12230.90194559
贵州省,2012,1174.71524
贵州省,2013,1294.60843
贵州省,2014,1441.77551
贵州省,2015,1379.0006
贵州省,2016,1482.27875
贵州省,2017,1656.484286
贵州省,2018,1797.91299
贵州省,2019,1235.31615545274
贵州省,2020,1265.11418
贵州省,2021,1435.90046972
贵州省,2022,1417.2667359
贵州省,2023,1468.66510972
辽宁省,2012,11563.67703
辽宁省,2013,11970.28484
辽宁省,2014,12235.70879
辽宁省,2015,11711.9228
辽宁省,2016,12113.492263
辽宁省,2017,12757.195558
辽宁省,2018,10654.45173391
辽宁省,2019,8921.42689450592
辽宁省,2020,5421.4662
辽宁省,2021,4524.65307471
辽宁省,2022,4611.15759637
辽宁省,2023,4685.93200588
重庆市,2012,2653.32907
重庆市,2013,2298.9008
重庆市,2014,2594.96217
重庆市,2015,2709.5288
重庆市,2016,2968.29145
重庆市,2017,3374.340113
重庆市,2018,3597.910767
重庆市,2019,3614.15344739738
重庆市,2020,3527.39027
重庆市,2021,3846.48490952
重庆市,2022,3880.22919845
重庆市,2023,3928.51934951
陕西省,2012,3192.14320247887
陕西省,2013,3200.56306
陕西省,2014,3521.45904808631
陕西省,2015,3263.5185
陕西省,2016,3444.9206
陕西省,2017,3760.63965
陕西省,2018,4024.89125
陕西省,2019,3482.15159404153
陕西省,2020,3697.35173
陕西省,2021,3945.04736567
陕西省,2022,4368.94318879
陕西省,2023,4478.07935742
青海省,2012,527.61992
青海省,2013,451.94716
青海省,2014,506.9411371
青海省,2015,445.577
青海省,2016,475.79987945
青海省,2017,519.46251651
青海省,2018,551.35923765
青海省,2019,398.428901598861
青海省,2020,415.73934495
青海省,2021,591.59445567
青海省,2022,702.63611604
青海省,2023,803.38094481
黑龙江省,2012,2002.33148
黑龙江省,2013,1930.03851
黑龙江省,2014,1811.094815
黑龙江省,2015,1545.3471
黑龙江省,2016,1532.53666128
黑龙江省,2017,1657.68513364
黑龙江省,2018,1601.30939362
黑龙江省,2019,1615.07737502047
黑龙江省,2020,1584.75672
黑龙江省,2021,1744.81895433
黑龙江省,2022,1851.61732857
黑龙江省,2023,1942.21714744
