province,year,gdp_100m_cny
上海市,2012,21774.9
上海市,2013,23809.4
上海市,2014,25964.5
上海市,2015,27821.6
上海市,2016,30963.9
上海市,2017,34378.3
上海市,2018,37769.1
上海市,2019,40241.2
上海市,2020,41603.9
上海市,2021,47059.4
上海市,2022,48594.5
上海市,2023,51404.5
云南省,2012,11266.3
云南省,2013,13027.0
云南省,2014,14275.1
云南省,2015,15358.6
云南省,2016,16773.6
云南省,2017,18864.6
云南省,2018,21427.5
云南省,2019,23902.1
云南省,2020,25214.5
云南省,2021,27895.3
云南省,2022,29301.1
云南省,2023,30595.8
内蒙古自治区,2012,10638.9
内蒙古自治区,2013,11584.9
内蒙古自治区,2014,12377.3
内蒙古自治区,2015,13062.7
内蒙古自治区,2016,13879.0
内蒙古自治区,2017,15009.9
内蒙古自治区,2018,16252.9
内蒙古自治区,2019,17479.4
内蒙古自治区,2020,17623.4
内蒙古自治区,2021,21584.8
内蒙古自治区,2022,23795.7
内蒙古自治区,2023,25020.5
北京市,2012,19568.3
北京市,2013,21746.0
北京市,2014,23577.5
北京市,2015,26034.1
北京市,2016,28438.7
北京市,2017,31325.9
北京市,2018,35161.4
北京市,2019,37767.0
北京市,2020,38503.6
北京市,2021,44350.7
北京市,2022,45222.4
北京市,2023,47353.7
吉林省,2012,8831.3
吉林省,2013,9608.6
吉林省,2014,10077.0
吉林省,2015,10162.9
吉林省,2016,10603.5
吉林省,2017,11083.0
吉林省,2018,11437.4
吉林省,2019,11949.4
吉林省,2020,12499.5
吉林省,2021,13431.1
吉林省,2022,13121.4
吉林省,2023,13942.7
四川省,2012,24224.9
四川省,2013,26858.4
四川省,2014,29357.5
四川省,2015,30829.1
四川省,2016,33879.2
四川省,2017,38517.1
四川省,2018,43539.0
四川省,2019,47168.6
四川省,2020,49445.1
四川省,2021,55131.3
四川省,2022,57609.4
四川省,2023,61353.4
天津市,2012,9193.0
天津市,2013,10075.2
天津市,2014,10749.2
天津市,2015,10889.2
天津市,2016,11487.0
天津市,2017,12468.2
天津市,2018,13411.1
天津市,2019,14097.2
天津市,2020,14230.8
天津市,2021,16093.2
天津市,2022,16588.5
天津市,2023,17211.8
宁夏回族自治区,2012,2162.0
宁夏回族自治区,2013,2364.9
宁夏回族自治区,2014,2516.4
宁夏回族自治区,2015,2644.7
宁夏回族自治区,2016,2853.3
宁夏回族自治区,2017,3271.6
宁夏回族自治区,2018,3580.6
宁夏回族自治区,2019,3841.5
宁夏回族自治区,2020,4036.2
宁夏回族自治区,2021,4666.5
宁夏回族自治区,2022,5168.1
宁夏回族自治区,2023,5368.8
安徽省,2012,18613.7
安徽省,2013,20888.2
安徽省,2014,22880.7
安徽省,2015,24142.7
安徽省,2016,26801.2
安徽省,2017,30141.8
安徽省,2018,34377.3
安徽省,2019,37584.8
安徽省,2020,38628.8
安徽省,2021,43102.8
安徽省,2022,45525.1
安徽省,2023,48227.5
山东省,2012,43584.3
山东省,2013,48058.1
山东省,2014,51552.7
山东省,2015,56159.1
山东省,2016,59702.6
山东省,2017,63958.6
山东省,2018,67864.4
山东省,2019,72024.3
山东省,2020,74355.9
山东省,2021,84838.0
山东省,2022,89519.4
山东省,2023,94206.4
山西省,2012,11819.7
山西省,2013,12171.8
山西省,2014,12307.0
山西省,2015,12036.1
山西省,2016,12160.1
山西省,2017,14679.1
山西省,2018,16153.1
山西省,2019,17311.0
山西省,2020,18202.7
山西省,2021,23087.8
山西省,2022,25653.2
山西省,2023,26050.8
广东省,2012,58057.6
广东省,2013,63757.3
广东省,2014,69593.4
广东省,2015,75820.8
广东省,2016,83493.4
广东省,2017,93004.8
广东省,2018,101875.9
广东省,2019,110468.1
广东省,2020,113708.9
广东省,2021,127577.4
广东省,2022,132547.1
广东省,2023,137905.4
广西壮族自治区,2012,11496.6
广西壮族自治区,2013,12680.6
广西壮族自治区,2014,13856.7
广西壮族自治区,2015,15030.2
广西壮族自治区,2016,16417.2
广西壮族自治区,2017,18071.7
广西壮族自治区,2018,19951.7
广西壮族自治区,2019,21341.5
广西壮族自治区,2020,22250.7
