province,year,passenger_turnover_100m_pkm
上海市,2012,182.0791
上海市,2013,195.00047
上海市,2014,209.86722
上海市,2015,215.2147
上海市,2016,214.415751
上海市,2017,224.80527
上海市,2018,218.70236
上海市,2019,226.94276029
上海市,2020,114.55805
上海市,2021,134.65440447
上海市,2022,76.10524988
上海市,2023,191.66
云南省,2012,568.68936
云南省,2013,431.85151
云南省,2014,437.32059
云南省,2015,456.5754
云南省,2016,446.0563
云南省,2017,453.38615
云南省,2018,431.57236
云南省,2019,441.48459
云南省,2020,263.72358
云南省,2021,283.36347363
云南省,2022,247.52362421
云南省,2023,469.55
内蒙古自治区,2012,436.44803
内蒙古自治区,2013,360.51084
内蒙古自治区,2014,363.1299612
内蒙古自治区,2015,371.1438
内蒙古自治区,2016,374.97338
内蒙古自治区,2017,362.66064
内蒙古自治区,2018,337.14034129
内蒙古自治区,2019,313.24822647
内蒙古自治区,2020,164.8982
内蒙古自治区,2021,164.81723946
内蒙古自治区,2022,88.98093807
内蒙古自治区,2023,252.96
北京市,2012,421.15896
北京市,2013,254.03861
北京市,2014,273.928081
北京市,2015,279.4316
北京市,2016,268.494002
北京市,2017,253.159006
北京市,2018,254.43275367
北京市,2019,263.68305778
北京市,2020,114.3644
北京市,2021,149.59260991
北京市,2022,88.60912163
北京市,2023,295.37
吉林省,2012,536.21816
吉林省,2013,413.70833
吉林省,2014,424.4740074
吉林省,2015,430.3086
吉林省,2016,431.2732871
吉林省,2017,425.36222812
吉林省,2018,427.27967008
吉林省,2019,424.8877142
吉林省,2020,198.85815
吉林省,2021,208.72314303
吉林省,2022,122.48075509
吉林省,2023,335.83
四川省,2012,1310.24622
四川省,2013,912.12292
四川省,2014,954.6639702
四川省,2015,987.7606
四川省,2016,941.59585416
四川省,2017,881.5152864
四川省,2018,878.30132411
四川省,2019,872.6787971
四川省,2020,560.29492
四川省,2021,596.57094066
四川省,2022,392.56807865
四川省,2023,814.18
天津市,2012,314.66429
天津市,2013,267.09188
天津市,2014,246.736002
天津市,2015,252.3024
天津市,2016,262.045877
天津市,2017,266.91166959
天津市,2018,276.51083675
天津市,2019,287.40195998
天津市,2020,143.51736
天津市,2021,171.01141712
