province,year,road_mileage_10k_km
上海市,2012,1.2541
上海市,2013,1.2633
上海市,2014,1.2945
上海市,2015,1.3195
上海市,2016,1.3292
上海市,2017,1.3321991
上海市,2018,1.3106395
上海市,2019,1.3044643
上海市,2020,1.2916607
上海市,2021,1.3082497
上海市,2022,1.3004808
上海市,2023,1.2989
云南省,2012,21.9052
云南省,2013,22.294
云南省,2014,23.0398
云南省,2015,23.6007
云南省,2016,23.8052
云南省,2017,24.2546303
云南省,2018,25.2928626
云南省,2019,26.2408664
云南省,2020,29.2479297
云南省,2021,30.0889578
云南省,2022,31.6091067
云南省,2023,32.9344
内蒙古自治区,2012,16.3763
内蒙古自治区,2013,16.7515
内蒙古自治区,2014,17.2167
内蒙古自治区,2015,17.5374
内蒙古自治区,2016,19.6061
内蒙古自治区,2017,19.942289
内蒙古自治区,2018,20.2641446
内蒙古自治区,2019,20.6089388
内蒙古自治区,2020,21.0216772
内蒙古自治区,2021,21.2603313
内蒙古自治区,2022,21.6176003
内蒙古自治区,2023,21.9407
北京市,2012,2.1492
北京市,2013,2.1673
北京市,2014,2.1849
北京市,2015,2.1885
北京市,2016,2.2026
北京市,2017,2.222597
北京市,2018,2.2255827
北京市,2019,2.2365936
北京市,2020,2.2264044
北京市,2021,2.2319933
北京市,2022,2.2362788
北京市,2023,2.2433
吉林省,2012,9.3208
吉林省,2013,9.4191
吉林省,2014,9.6041
吉林省,2015,9.7326
吉林省,2016,10.2484
吉林省,2017,10.3895729
吉林省,2018,10.5398933
吉林省,2019,10.6659942
吉林省,2020,10.7848061
吉林省,2021,10.8691379
吉林省,2022,10.9761326
吉林省,2023,11.0465
四川省,2012,29.3499
四川省,2013,30.1816
四川省,2014,30.9742
四川省,2015,31.5582
四川省,2016,32.4138
四川省,2017,32.995047
四川省,2018,33.1592258
四川省,2019,33.7094898
四川省,2020,39.4371062
四川省,2021,39.8898934
四川省,2022,40.5390216
四川省,2023,41.8254
天津市,2012,1.5391
天津市,2013,1.5718
天津市,2014,1.611
天津市,2015,1.655
天津市,2016,1.6764
天津市,2017,1.6532146
天津市,2018,1.6256737
天津市,2019,1.6131882
天津市,2020,1.6411022
天津市,2021,1.5307173
天津市,2022,1.5230486
天津市,2023,1.5221
宁夏回族自治区,2012,2.6522
宁夏回族自治区,2013,2.8554
宁夏回族自治区,2014,3.1276
宁夏回族自治区,2015,3.324
宁夏回族自治区,2016,3.394
宁夏回族自治区,2017,3.4561152
宁夏回族自治区,2018,3.5405236
宁夏回族自治区,2019,3.6575711
宁夏回族自治区,2020,3.6900937
宁夏回族自治区,2021,3.7576667
宁夏回族自治区,2022,3.8347292
宁夏回族自治区,2023,3.8739
安徽省,2012,16.5157
安徽省,2013,17.3763
安徽省,2014,17.4373
安徽省,2015,18.694
安徽省,2016,19.7588
安徽省,2017,20.3285308
安徽省,2018,20.8826249
安徽省,2019,21.8294578
安徽省,2020,23.6482747
安徽省,2021,23.7410862
安徽省,2022,23.7967213
安徽省,2023,23.9129
山东省,2012,24.4586
山东省,2013,25.2786
山东省,2014,25.9515
山东省,2015,26.3447
山东省,2016,26.572
山东省,2017,27.0590238
山东省,2018,27.5641597
山东省,2019,28.0324542
山东省,2020,28.6814436
山东省,2021,28.8143167
山东省,2022,29.1759153
山东省,2023,29.3411
山西省,2012,13.7771
山西省,2013,13.9434
山西省,2014,14.0436
山西省,2015,14.096
山西省,2016,14.2066
山西省,2017,14.2855143
山西省,2018,14.332615
山西省,2019,14.4282501
山西省,2020,14.4322877
山西省,2021,14.4616656
山西省,2022,14.5469171
山西省,2023,14.6545
广东省,2012,19.4943
广东省,2013,20.2915
广东省,2014,21.2094
广东省,2015,21.6023
广东省,2016,21.8085
广东省,2017,21.9580023
广东省,2018,21.7699107
广东省,2019,22.0290402
广东省,2020,22.1872569
广东省,2021,22.2986754
广东省,2022,22.3080525
广东省,2023,22.3391
广西壮族自治区,2012,10.7906
广西壮族自治区,2013,11.1384
广西壮族自治区,2014,11.49
广西壮族自治区,2015,11.7993
广西壮族自治区,2016,12.0547
广西壮族自治区,2017,12.3259406
广西壮族自治区,2018,12.5449478
广西壮族自治区,2019,12.7818525
广西壮族自治区,2020,13.1642454
广西壮族自治区,2021,16.0637229
广西壮族自治区,2022,17.2391134
广西壮族自治区,2023,18.3618
新疆维吾尔自治区,2012,16.5909
新疆维吾尔自治区,2013,17.0155
新疆维吾尔自治区,2014,17.5468
新疆维吾尔自治区,2015,17.8263
新疆维吾尔自治区,2016,18.2085
新疆维吾尔自治区,2017,18.533772
新疆维吾尔自治区,2018,18.9049887
新疆维吾尔自治区,2019,19.4221776
新疆维吾尔自治区,2020,20.9220408
新疆维吾尔自治区,2021,21.7325665
新疆维吾尔自治区,2022,22.3118
新疆维吾尔自治区,2023,22.7934
江苏省,2012,15.4118
江苏省,2013,15.6094
江苏省,2014,15.7521
江苏省,2015,15.8805
江苏省,2016,15.7304
江苏省,2017,15.8475013
江苏省,2018,15.8728658
江苏省,2019,15.9937047
江苏省,2020,15.8101375
江苏省,2021,15.803555
江苏省,2022,15.7999943
江苏省,2023,15.8734
江西省,2012,15.0595
江西省,2013,15.2067
江西省,2014,15.5515
江西省,2015,15.6625
江西省,2016,16.1909
江西省,2017,16.2285124
江西省,2018,16.194096
江西省,2019,20.9131109
江西省,2020,21.0641496
江西省,2021,21.110117
江西省,2022,21.071062
江西省,2023,20.956
河北省,2012,16.3045
河北省,2013,17.4492
河北省,2014,17.92
河北省,2015,18.4553
河北省,2016,18.8431
河北省,2017,19.1693209
河北省,2018,19.3252276
河北省,2019,19.6983161
河北省,2020,20.4737479
河北省,2021,20.7170147
河北省,2022,20.9209428
河北省,2023,21.1107
河南省,2012,24.9649
河南省,2013,24.9831
河南省,2014,24.9857
河南省,2015,25.0584
河南省,2016,26.7441
河南省,2017,26.7805416
河南省,2018,26.858934
河南省,2019,26.9832219
河南省,2020,27.0270788
河南省,2021,27.1569701
河南省,2022,27.748171
河南省,2023,28.1101
浙江省,2012,11.355
浙江省,2013,11.5426
浙江省,2014,11.6367
浙江省,2015,11.8015
浙江省,2016,11.9053
浙江省,2017,12.0101401
浙江省,2018,12.0661751
浙江省,2019,12.1812898
浙江省,2020,12.307997
浙江省,2021,12.388535
浙江省,2022,12.2917737
浙江省,2023,12.1408
海南省,2012,2.4265
海南省,2013,2.4852
海南省,2014,2.6002
海南省,2015,2.686
海南省,2016,2.8217
海南省,2017,3.0684297
海南省,2018,3.5022677
海南省,2019,3.8106819
海南省,2020,4.0163295
海南省,2021,4.1045537
海南省,2022,4.1686844
海南省,2023,4.1817
湖北省,2012,21.8151
湖北省,2013,22.6912
湖北省,2014,23.6933
湖北省,2015,25.298
湖北省,2016,26.0179
湖北省,2017,26.9484032
湖北省,2018,27.5039308
湖北省,2019,28.9029196
湖北省,2020,28.9612435
湖北省,2021,29.6921758
湖北省,2022,30.217811
湖北省,2023,30.7566
湖南省,2012,23.404
湖南省,2013,23.5392
湖南省,2014,23.625
湖南省,2015,23.6886
湖南省,2016,23.8273
湖南省,2017,23.9723816
湖南省,2018,24.0059799
湖南省,2019,24.0566153
湖南省,2020,24.1137629
湖南省,2021,24.1939902
湖南省,2022,24.2419753
湖南省,2023,24.2769
甘肃省,2012,13.1201
甘肃省,2013,13.3597
甘肃省,2014,13.8084
甘肃省,2015,14.0052
甘肃省,2016,14.3039
甘肃省,2017,14.2252036
甘肃省,2018,14.3227598
甘肃省,2019,15.1442763
甘肃省,2020,15.5957004
甘肃省,2021,15.658254
甘肃省,2022,15.7243189
甘肃省,2023,15.8219
福建省,2012,9.4661
福建省,2013,9.9535
福建省,2014,10.119
福建省,2015,10.4585
福建省,2016,10.6757
福建省,2017,10.8011607
福建省,2018,10.8901276
福建省,2019,10.9785157
福建省,2020,11.0118205
福建省,2021,11.1030658
福建省,2022,11.2878371
福建省,2023,11.5645
贵州省,2012,16.4542
贵州省,2013,17.2564
贵州省,2014,17.9079
贵州省,2015,18.6407
贵州省,2016,19.1626
贵州省,2017,19.4379014
贵州省,2018,19.6907589
贵州省,2019,20.4723103
贵州省,2020,20.6693117
贵州省,2021,20.7189595
贵州省,2022,20.9616538
贵州省,2023,21.9839
辽宁省,2012,10.5562
辽宁省,2013,11.0973
辽宁省,2014,11.543
辽宁省,2015,12.0365
辽宁省,2016,12.0613
辽宁省,2017,12.2705448
辽宁省,2018,12.2973599
辽宁省,2019,12.4767298
辽宁省,2020,13.0899478
辽宁省,2021,13.1587799
辽宁省,2022,13.1065437
辽宁省,2023,13.2371
重庆市,2012,12.0728
重庆市,2013,12.2846
重庆市,2014,12.7392
重庆市,2015,14.0551
重庆市,2016,14.2921
重庆市,2017,14.7881342
重庆市,2018,15.7483407
重庆市,2019,17.428374
重庆市,2020,18.079635
重庆市,2021,18.4106194
重庆市,2022,18.6136992
重庆市,2023,18.6598
陕西省,2012,16.1411
陕西省,2013,16.5249
陕西省,2014,16.7145
陕西省,2015,17.0069
陕西省,2016,17.2471
陕西省,2017,17.4395006
陕西省,2018,17.7127813
陕西省,2019,18.0069637
陕西省,2020,18.0660424
陕西省,2021,18.3414449
陕西省,2022,18.5606931
陕西省,2023,18.7831
青海省,2012,6.5988
青海省,2013,7.0117
青海省,2014,7.2703
青海省,2015,7.5593
青海省,2016,7.8585
青海省,2017,8.0895128
青海省,2018,8.2137077
青海省,2019,8.376059
青海省,2020,8.5131062
青海省,2021,8.6151872
青海省,2022,8.7725771
青海省,2023,8.9416
黑龙江省,2012,15.9063
黑龙江省,2013,16.0206
黑龙江省,2014,16.2464
黑龙江省,2015,16.3233
黑龙江省,2016,16.4502
黑龙江省,2017,16.5989167
黑龙江省,2018,16.7115665
黑龙江省,2019,16.8710076
黑龙江省,2020,16.8118678
黑龙江省,2021,16.8354437
黑龙江省,2022,16.8958033
黑龙江省,2023,16.9273
