province,year,tertiary_value_added_100m_cny
上海市,2012,13471.5
上海市,2013,15391.2
上海市,2014,17199.3
上海市,2015,19287.5
上海市,2016,22279.3
上海市,2017,24741.6
上海市,2018,27303.5
上海市,2019,29817.1
上海市,2020,31139.5
上海市,2021,35538.0
上海市,2022,37108.1
上海市,2023,39760.9
云南省,2012,5167.5
云南省,2013,6148.0
云南省,2014,6891.1
云南省,2015,7787.6
云南省,2016,8800.7
云南省,2017,10208.5
云南省,2018,11661.3
云南省,2019,12712.3
云南省,2020,13175.0
云南省,2021,14527.8
云南省,2022,15313.4
云南省,2023,16383.0
内蒙古自治区,2012,4632.1
内蒙古自治区,2013,5131.9
内蒙古自治区,2014,5624.9
内蒙古自治区,2015,6162.9
内蒙古自治区,2016,6648.7
内蒙古自治区,2017,7485.9
内蒙古自治区,2018,8166.8
内蒙古自治区,2019,8842.2
内蒙古自治区,2020,8804.9
内蒙古自治区,2021,9583.6
内蒙古自治区,2022,10223.9
内蒙古自治区,2023,11245.8
北京市,2012,15563.9
北京市,2013,17417.9
北京市,2014,18985.3
北京市,2015,21473.9
北京市,2016,23643.2
北京市,2017,26154.6
北京市,2018,29563.5
北京市,2019,31839.7
北京市,2020,32495.5
北京市,2021,36507.1
北京市,2022,38150.6
北京市,2023,40344.8
吉林省,2012,4320.6
吉林省,2013,4786.3
吉林省,2014,5001.9
吉林省,2015,5054.5
吉林省,2016,5572.1
吉林省,2017,5992.1
吉林省,2018,6225.1
吉林省,2019,6500.1
吉林省,2020,6609.1
吉林省,2021,7163.4
吉林省,2022,7157.4
吉林省,2023,7871.0
四川省,2012,9851.3
四川省,2013,11182.0
四川省,2014,12750.0
四川省,2015,13975.7
四川省,2016,16528.5
四川省,2017,19685.4
四川省,2018,23054.7
四川省,2019,25158.5
四川省,2020,26293.4
四川省,2021,29452.0
四川省,2022,31330.0
四川省,2023,34018.7
天津市,2012,4911.1
天津市,2013,5513.4
天津市,2014,5974.9
天津市,2015,6237.3
天津市,2016,6950.6
天津市,2017,7735.2
天津市,2018,8400.5
天津市,2019,8894.9
天津市,2020,9053.8
天津市,2021,10046.8
天津市,2022,10222.7
天津市,2023,10860.8
宁夏回族自治区,2012,980.5
宁夏回族自治区,2013,1094.7
宁夏回族自治区,2014,1185.8
宁夏回族自治区,2015,1291.1
宁夏回族自治区,2016,1432.6
宁夏回族自治区,2017,1615.0
宁夏回族自治区,2018,1813.1
宁夏回族自治区,2019,1973.6
宁夏回族自治区,2020,2093.3
宁夏回族自治区,2021,2265.3
宁夏回族自治区,2022,2441.9
宁夏回族自治区,2023,2611.7
安徽省,2012,7347.2
安徽省,2013,8481.6
安徽省,2014,9603.1
安徽省,2015,10928.3
安徽省,2016,12793.9
安徽省,2017,14878.3
安徽省,2018,17644.9
安徽省,2019,19773.0
安徽省,2020,20157.2
安徽省,2021,22813.5
安徽省,2022,24311.6
安徽省,2023,25997.8
山东省,2012,18261.3
山东省,2013,20988.1
山东省,2014,23301.8
山东省,2015,26441.4
山东省,2016,29307.3
山东省,2017,32200.3
山东省,2018,35390.2
山东省,2019,38442.5
山东省,2020,39983.5
山东省,2021,44727.1
山东省,2022,47186.0
山东省,2023,49649.9
山西省,2012,4325.0
山西省,2013,4789.9
山西省,2014,5192.5
山西省,2015,6090.2
山西省,2016,6322.2
山西省,2017,7324.6
山西省,2018,8337.9
山西省,2019,9082.7
山西省,2020,9595.9
山西省,2021,10908.6
山西省,2022,11650.9
山西省,2023,12745.5
广东省,2012,28000.1
广东省,2013,31537.9
广东省,2014,34624.3
广东省,2015,38717.3
广东省,2016,44493.7
广东省,2017,50856.7
广东省,2018,56641.1
广东省,2019,62588.8
广东省,2020,65219.7
广东省,2021,72615.1
广东省,2022,75855.7
广东省,2023,79670.7
广西壮族自治区,2012,4867.1
广西壮族自治区,2013,5680.6
广西壮族自治区,2014,6297.7
广西壮族自治区,2015,7073.8
广西壮族自治区,2016,7996.0
广西壮族自治区,2017,9055.1
广西壮族自治区,2018,10237.8
广西壮族自治区,2019,11081.5
广西壮族自治区,2020,11537.2
广西壮族自治区,2021,12736.5
广西壮族自治区,2022,13282.0
广西壮族自治区,2023,14055.1
新疆维吾尔自治区,2012,2969.5
新疆维吾尔自治区,2013,3711.9
新疆维吾尔自治区,2014,4164.1
新疆维吾尔自治区,2015,4689.9
新疆维吾尔自治区,2016,4994.6
新疆维吾尔自治区,2017,5812.8
新疆维吾尔自治区,2018,6760.9
新疆维吾尔自治区,2019,7418.3
新疆维吾尔自治区,2020,7482.4
新疆维吾尔自治区,2021,8151.5
