province,year,urban_population_10k_person
上海市,2012,2142.307
上海市,2013,2193.408
上海市,2014,2203.031
上海市,2015,2176.0674
上海市,2016,2195.63
上海市,2017,2197.206
上海市,2018,2205.9675
上海市,2019,2213.5482
上海市,2020,2221.784
上海市,2021,2222.677
上海市,2022,2210.9175
上海市,2023,2224.8702
云南省,2012,1781.5457
云南省,2013,1855.9359
云南省,2014,1917.5013
云南省,2015,2001.8259
云南省,2016,2087.8128
云南省,2017,2172.3897
云南省,2018,2231.1032
云南省,2019,2294.3038
云南省,2020,2363.361
云南省,2021,2394.245
云南省,2022,2427.2196
云南省,2023,2472.9516
内蒙古自治区,2012,1439.4688
内蒙古自治区,2013,1468.581
内蒙古自治区,2014,1493.1553
内蒙古自治区,2015,1514.996
内蒙古自治区,2016,1544.424
内蒙古自治区,2017,1571.718
内蒙古自治区,2018,1586.6522
内蒙古自治区,2019,1605.009
内蒙古自治区,2020,1621.5444
内蒙古自治区,2021,1637.04
内蒙古自治区,2022,1647.086
内蒙古自治区,2023,1667.1368
北京市,2012,1793.1062
北京市,2013,1835.7875
北京市,2014,1877.915
北京市,2015,1897.2148
北京市,2016,1904.382
北京市,2017,1907.2442
北京市,2018,1909.0128
北京市,2019,1912.965
北京市,2020,1916.4695
北京市,2021,1915.375
北京市,2022,1912.5288
北京市,2023,1919.9638
吉林省,2012,1471.4892
吉林省,2013,1487.1432
吉林省,2014,1500.9202
吉林省,2015,1506.1332
吉林省,2016,1508.1125
吉林省,2017,1508.2746
吉林省,2018,1511.514
吉林省,2019,1508.7024
吉林省,2020,1502.7336
吉林省,2021,1504.8
吉林省,2022,1496.1456
吉林省,2023,1514.0347
四川省,2012,3504.8475
四川省,2013,3645.8064
四川省,2014,3785.4489
四川省,2015,3956.2092
四川省,2016,4125.5
四川省,2017,4292.0442
四川省,2018,4451.735
四川省,2019,4623.1136
四川省,2020,4748.8683
四川省,2021,4840.6904
四川省,2022,4886.229
四川省,2023,4978.1232
天津市,2012,1123.759
天津市,2013,1160.289
天津市,2014,1179.6395
天津市,2015,1192.6432
天津市,2016,1201.5861
天津市,2017,1178.337
天津市,2018,1161.0285
天津市,2019,1167.6935
天津市,2020,1174.789
天津市,2021,1165.4024
天津市,2022,1160.0493
天津市,2023,1166.0836
宁夏回族自治区,2012,337.0785
宁夏回族自治区,2013,351.9144
宁夏回族自治区,2014,371.6796
宁夏回族自治区,2015,389.7432
宁夏回族自治区,2016,408.243
宁夏回族自治区,2017,429.6975
宁夏回族自治区,2018,441.265
宁夏回族自治区,2019,456.2271
宁夏回族自治区,2020,468.3616
宁夏回族自治区,2021,478.79
宁夏回族自治区,2022,482.9552
宁夏回族自治区,2023,490.6899
安徽省,2012,2767.814
安徽省,2013,2866.4556
安徽省,2014,2957.1207
安徽省,2015,3063.8067
安徽省,2016,3174.5646
安徽省,2017,3288.3453
安徽省,2018,3381.294
安徽省,2019,3473.6584
安徽省,2020,3561.0465
安徽省,2021,3630.5107
安徽省,2022,3685.3905
安徽省,2023,3765.0271
山东省,2012,5051.0724
山东省,2013,5210.2116
山东省,2014,5371.8416
山东省,2015,5620.6602
山东省,2016,5897.0349
山东省,2017,6099.0607
山东省,2018,6193.3242
山东省,2019,6251.5716
山东省,2020,6409.0325
山东省,2021,6502.698
山东省,2022,6559.2002
山东省,2023,6633.6019
山西省,2012,1820.8336
山西省,2013,1869.308
山西省,2014,1915.704
山西省,2015,1966.0653
山西省,2016,2012.4678
山西省,2017,2056.509
山西省,2018,2095.947
山西省,2019,2143.3113
山西省,2020,2182.297
山西省,2021,2207.016
山西省,2022,2226.4476
山西省,2023,2251.8602
广东省,2012,7414.0315
广东省,2013,7673.743
广东省,2014,7883.7518
广东省,2015,8117.3778
广东省,2016,8353.462
广东省,2017,8588.5434
广东省,2018,8867.0988
广东省,2019,9073.2585
广东省,2020,9360.696
广东省,2021,9466.0692
广东省,2022,9466.1703
广东省,2023,9582.8652
广西壮族自治区,2012,2040.9512
广西壮族自治区,2013,2134.1541
广西壮族自治区,2014,2219.958
广西壮族自治区,2015,2308.7989
