province,year,nev_stock_10k,source_id,source_name,source_url,publish_date,evidence,note
上海市,2023,128.8,SRC_CASE02_STRICT_NEV_2023_SH,上海市人民政府-燃油车以旧换新补贴 新能源汽车置换政策发布,https://www.shanghai.gov.cn/nw4411/20240303/210a0336b8c14e97a6de2c0672d969fc.html,2024-03-03,截至2023年末，上海新能源汽车保有量达128.8万辆,原文明确“截至2023年末…保有量…万辆”。
云南省,2023,32.6,SRC_CASE02_STRICT_NEV_2023_YN,云南省能源局-《云南省推进新能源发展工作情况》政策解读,https://nyj.yn.gov.cn/nyj_file/html/xzgfwjjd/2024/1217/000027.html,2024-12-22,2023年10月底，我省新能源汽车保有量达到32.6万辆,原文给出“2023年10月底，我省新能源汽车保有量达到32.6万辆”，属2023年内时点口径（非年末）。
内蒙古自治区,2023,8.299800000000001,SRC_CASE02_STRICT_NEV_2023_NM,巴彦淖尔市科技局-前三季度全区累计推广应用新能源汽车27850辆（转载）,http://kjj.bynr.gov.cn/kjxx/gnkj/202311/t20231114_574040_senior.html,2023-11-14,截至今年9月30日，全区新能源汽车保有量为82998辆,巴彦淖尔市科技局转载稿原文给出“截至今年9月30日，全区新能源汽车保有量为82998辆”；值为“辆”，已换算为“万辆”（÷10000）。属2023年内时点口径（非年末）。
北京市,2023,77.3,SRC_CASE02_STRICT_NEV_2023_BJ,北京市发展改革委-北京加快布局新能源汽车超级充电站,https://fgw.beijing.gov.cn/gzdt/fgzs/mtbdx/bzwlxw/202408/t20240820_3777559.htm,2024-08-20,2023年，北京全市新能源汽车保有量达到77.3万辆,原文明确“2023年，北京全市新能源汽车保有量达到77.3万辆”。
四川省,2023,89.63,SRC_CASE02_STRICT_NEV_2023_SC,四川省人民政府-@新能源车主，四川将这样缓解你的“里程焦虑”,https://www.sc.gov.cn/10462/10464/13298/13299/2024/6/28/08e35bde8718453d9a27934e8c9bea17.shtml,2024-06-28,四川省电动汽车保有量快速增长，2023年底数量达89.63万辆,原文给出“四川省电动汽车保有量快速增长，2023年底数量达89.63万辆”；该来源为“电动汽车”口径，可能与“新能源汽车”统计口径存在差异。
天津市,2023,48.0,SRC_CASE02_STRICT_NEV_2023_TJ,天津市人民政府-截至7月底 天津市累计建成公共充电桩7.2万台（政民互动回复）,https://www.tj.gov.cn/zmhd/wmfkxd/202408/t20240816_6700013.html,2024-08-16,截至2023年底，我市新能源汽车保有量约为48万辆,天津政务问答页面中答复“经与市工信局了解，截至2023年底，我市新能源汽车保有量约为48万辆”。
宁夏回族自治区,2023,4.3,SRC_CASE02_STRICT_NEV_2023_NX,银川市人民政府-截至9月底 宁夏机动车保有量达226万辆,https://yinchuan.gov.cn/xwzx/mrdt/202311/t20231101_4335710.html,2023-11-01,截至9月底，宁夏新能源汽车保有量达4.3万辆,银川市政府转载公安交管统计口径，原文给出“截至9月底，宁夏新能源汽车保有量达4.3万辆”，属2023年内时点口径（非年末）。
安徽省,2023,60.3,SRC_CASE02_STRICT_NEV_2023_AH,安徽省发展改革委-《安徽省新能源汽车充换电基础设施建设运营管理办法（暂行）》政策解读,https://fzggw.ah.gov.cn/public/7011/148994711.html,2023-12-13,截至 2023 年 11 月底，我省新能源汽车保有量达到 60.3 万辆,原文明确“截至2023年11月底，我省新能源汽车保有量达到60.3万辆”，属2023年末近似口径（非12月31日）。
山东省,2023,165.9,SRC_CASE02_STRICT_NEV_2023_SD,山东省能源局-《山东省电动汽车充电基础设施发展白皮书》发布,http://nyj.shandong.gov.cn/art/2023/12/2/art_59966_10301975.html,2023-12-02,新能源汽车保有量165.9万辆,原文给出“截至2023年9月底…新能源汽车保有量165.9万辆”，属2023年内时点口径（非年末）。
山西省,2023,34.64,SRC_CASE02_STRICT_NEV_2023_SX,山西省人民政府-让出行更加便捷绿色低碳,http://www.shanxi.gov.cn/ywdt/sxyw/202308/t20230807_9078335.shtml,2023-08-07,截至目前，我省充电桩保有量3.85万个，新能源汽车保有量约34.64万辆,原文给出“截至目前，我省…新能源汽车保有量约34.64万辆”；发布日期为2023-08-07，属2023年内时点口径（非年末）。
广东省,2023,289.0,SRC_CASE02_STRICT_NEV_2023_GD,广东省人民政府-广东省节能宣传周启动 去年新能源汽车保有量289万辆,https://www.gd.gov.cn/gdywdt/bmdt/content/post_4422331.html,2024-05-14,截至去年底，广东新能源汽车保有量达到289万辆,原文为“截至去年底…”，结合发布日期 2024-05-14，对应 2023 年底。
广西壮族自治区,2023,92.37,SRC_CASE02_STRICT_NEV_2023_GX,广西壮族自治区人民政府-广西大力实施新能源汽车推广应用提升行动,http://www.gxzf.gov.cn/gxyw/t19439729.shtml,2024-12-31,截至11月底，全区新能源汽车保有量达92.37万辆,原文口径为“截至11月底…保有量…万辆”，属2023年末近似口径（非12月31日）。
新疆维吾尔自治区,2023,5.0,SRC_CASE02_STRICT_NEV_2023_XJ,新疆维吾尔自治区人民政府-新疆首批“光储充放”一体化试点项目并网,https://www.xinjiang.gov.cn/xinjiang/bmdt/202310/2339a216530641b7adab3da6bd6bbe48.shtml,2023-10-18,目前新疆新能源汽车保有量在5万辆,原文给出“目前新疆新能源汽车保有量在5万辆左右，并逐年增加”；属2023年内时点口径（非年末）。
江苏省,2023,33.4,SRC_CASE02_STRICT_NEV_2023_JS,江苏省政协-关于在大力推动充电桩建设的同时加强安全监管的提案,http://www.jszx.gov.cn/wylz/zxta/2023ta/202301/t20230116_94117.html,2023-01-16,目前，我省电动汽车保有量33.4万辆,江苏省政协提案页面原文给出“目前，我省电动汽车保有量33.4万辆”；属2023年年初时点口径（非年末），且为“电动汽车”口径。
河北省,2023,80.8,SRC_CASE02_STRICT_NEV_2023_HE,河北省工信厅-关于2023年工业领域生态环境保护工作情况的报告,https://gxt.hebei.gov.cn/hbgyhxxht/zfxxgk/fdzdgknr/gzdt68/tzgg9917/2025042121501226167/index.html,2025-04-21,2023年，全年新能源车推广30.4万辆，保有量达到80.8万辆,原文给出“2023年，全年新能源车推广30.4万辆，保有量达到80.8万辆”。
