province,year,transport_co2_est_10k_ton,nev_stock_10k,gdp_per_capita_yuan,urbanization_rate,passenger_turnover_100m_pkm,freight_turnover_100m_tkm,road_mileage_10k_km,tertiary_share,gdp_100m_cny,tertiary_value_added_100m_cny,resident_population_10k_person,urban_population_10k_person
上海市,2012,943.0720200000001,0.0,90766.5694039183,0.8929999999999999,182.0791,20373.36566,1.2541,0.6186710386729675,21774.9,13471.5,2399.0,2142.307
上海市,2013,945.9330299999999,0.0,97260.62091503268,0.8959999999999999,195.00047,14332.707,1.2633,0.6464337614555595,23809.4,15391.2,2448.0,2193.408
上海市,2014,949.8819599999999,0.0,105247.26388325902,0.893,209.86722,18633.35837,1.2945,0.6624159910647229,25964.5,17199.3,2467.0,2203.031
上海市,2015,976.5938699999999,0.0,113187.95768917819,0.8853,215.2147,19495.8847,1.3195,0.6932563188314116,27821.6,19287.5,2458.0,2176.0674
上海市,2016,1066.39587,0.0,125512.36319416296,0.89,214.415751,19317.76079131,1.3292,0.7195249952363881,30963.9,22279.3,2467.0,2195.63
上海市,2017,1009.22625,14.0,139409.16463909164,0.891,224.80527,24998.71121332,1.3321991,0.7196865464551766,34378.3,24741.6,2466.0,2197.206
上海市,2018,780.45453,21.0,152602.42424242425,0.8913000000000001,218.70236,28299.85331856,1.3106395,0.7229057615881767,37769.1,27303.5,2475.0,2205.9675
上海市,2019,823.29678,30.0,162197.5010076582,0.8922000000000001,226.94276029,30324.9015458153,1.3044643,0.7409595141297973,40241.2,29817.1,2481.0,2213.5482
上海市,2020,776.2987800000001,42.0,167218.24758842445,0.893,114.55805,32794.99581,1.2916607,0.74847550349847,41603.9,31139.5,2488.0,2221.784
上海市,2021,828.0757800000001,63.5,189069.50582563278,0.893,134.65440447,34074.59558991,1.3082497,0.7551732491276981,47059.4,35538.0,2489.0,2222.677
上海市,2022,717.51438,99.89736334706105,196341.41414141413,0.8933,76.10524988,32369.68911696,1.3004808,0.7636275710214119,48594.5,37108.1,2475.0,2210.9175
上海市,2023,606.95298,128.8442,206692.80257338157,0.8946,191.66,32789.82488474,1.2989,0.7734906477059401,51404.5,39760.9,2487.0,2224.8702
云南省,2012,1788.056865,0.0,24328.006909954653,0.3847,568.68936,1123.35141,21.9052,0.4586687732440997,11266.3,5167.5,4631.0,1781.5457
云南省,2013,1661.7697199999998,0.0,28069.381598793363,0.3999,431.85151,1361.92131,22.294,0.47194288784831506,13027.0,6148.0,4641.0,1855.9359
云南省,2014,1862.0810567325,0.0,30679.346658070062,0.41209999999999997,437.32059,1445.5753,23.0398,0.4827356726047453,14275.1,6891.1,4653.0,1917.5013
云南省,2015,1754.73612,0.0,32937.16491529059,0.4293,456.5754,1500.2748,23.6007,0.5070514239579128,15358.6,7787.6,4663.0,2001.8259
云南省,2016,1811.8541026100743,0.0,35864.01539448364,0.4464,446.0563,1600.07056,23.8052,0.5246756808317834,16773.6,8800.7,4677.0,2087.8128
云南省,2017,1828.3303647400382,0.75,40197.31515022374,0.46290000000000003,453.38615,1824.96016,24.2546303,0.5411458498987523,18864.6,10208.5,4693.0,2172.3897
云南省,2018,2072.2257,1.5,45561.34382309164,0.4744,431.57236,1971.9122876,25.2928626,0.544221211060553,21427.5,11661.3,4703.0,2231.1032
云南省,2019,2276.45424,2.25,50704.49724225711,0.4867,441.48459,1552.04805850466,26.2408664,0.5318486660167935,23902.1,12712.3,4714.0,2294.3038
云南省,2020,2270.12796,3.0,53397.924608216854,0.5005,263.72358,1579.74462,29.2479297,0.522516805806183,25214.5,13175.0,4722.0,2363.361
云南省,2021,2354.7708900000002,5.0,59478.25159914712,0.5105,283.36347363,1868.28472773,30.0889578,0.5207974103164332,27895.3,14527.8,4690.0,2394.245
云南省,2022,2257.1424,21.311437514039685,62435.755380353716,0.5172,247.52362421,1999.7439292,31.6091067,0.5226220176034347,29301.1,15313.4,4693.0,2427.2196
云南省,2023,2159.5139099999997,35.00517241198108,65473.57158142521,0.5292,469.55,2062.08860701,32.9344,0.5354656521483341,30595.8,16383.0,4673.0,2472.9516
内蒙古自治区,2012,2235.261578418734,0.0,43177.353896103894,0.5842,436.44803,5870.34231,16.3763,0.43539275676996686,10638.9,4632.1,2464.0,1439.4688
内蒙古自治区,2013,1277.18496,0.0,47189.00203665988,0.5982,360.51084,4461.95848,16.7515,0.4429818125318302,11584.9,5131.9,2455.0,1468.581
内蒙古自治区,2014,1163.17404,0.0,50540.22049816252,0.6096999999999999,363.1299612,4471.0767728,17.2167,0.454452909762226,12377.3,5624.9,2449.0,1493.1553
内蒙古自治区,2015,1036.8234,0.0,53535.65573770492,0.6209,371.1438,4190.3008,17.5374,0.471793733301691,13062.7,6162.9,2440.0,1514.996
内蒙古自治区,2016,983.0280464999998,0.0,56974.54844006568,0.634,374.97338,4341.74245,19.6061,0.4790474818070466,13879.0,6648.7,2436.0,1544.424
内蒙古自治区,2017,1036.69371,0.375,61692.97163995068,0.646,362.66064,5146.75571,19.942289,0.49873083764715287,15009.9,7485.9,2433.0,1571.718
内蒙古自治区,2018,930.29148,0.75,67105.28488852188,0.6551,337.14034129,5595.97503964,20.2641446,0.5024826338684174,16252.9,8166.8,2422.0,1586.6522
内蒙古自治区,2019,970.28739,1.125,72378.46790890269,0.6646,313.24822647,4689.49239389261,20.6089388,0.505864045676625,17479.4,8842.2,2415.0,1605.009
内蒙古自治区,2020,935.44866,1.5,73339.1593841032,0.6748,164.8982,4567.3574973,21.0216772,0.4996141493695881,17623.4,8804.9,2403.0,1621.5444
内蒙古自治区,2021,1187.6372099999999,2.5,89936.66666666667,0.6821,164.81723946,4933.8214662,21.2603313,0.44399762796041664,21584.8,9583.6,2400.0,1637.04
内蒙古自治区,2022,1138.61601,6.659824223137402,99107.45522698875,0.686,88.98093807,5220.70796796,21.6176003,0.4296532566808289,23795.7,10223.9,2401.0,1647.086
内蒙古自治区,2023,1089.59481,14.361096374146085,104426.12687813022,0.6958,252.96,5556.14319956,21.9407,0.449463439979217,25020.5,11245.8,2396.0,1667.1368
北京市,2012,492.0692652,0.0,94168.9124157844,0.8629,421.15896,1001.12637,2.1492,0.7953629083773246,19568.3,15563.9,2078.0,1793.1062
北京市,2013,517.56588,0.0,102334.11764705883,0.8639,254.03861,1051.1407,2.1673,0.8009702933872896,21746.0,17417.9,2125.0,1835.7875
北京市,2014,527.6929464,0.0,108602.02671579918,0.865,273.928081,1036.7093,2.1849,0.8052295620824939,23577.5,18985.3,2171.0,1877.915
北京市,2015,495.92925,0.0,118985.83180987203,0.8671,279.4316,901.4125,2.1885,0.824837424762139,26034.1,21473.9,2188.0,1897.2148
北京市,2016,462.0448332,0.0,129561.2756264237,0.8676,268.494002,825.43477,2.2026,0.8313741486073555,28438.7,23643.2,2195.0,1904.382
北京市,2017,455.2716816,15.0,142779.85414767548,0.8693000000000001,253.159006,958.415862,2.222597,0.8349193478878499,31325.9,26154.6,2194.0,1907.2442
北京市,2018,465.41781,22.0,160407.84671532846,0.8709,254.43275367,1034.22183097,2.2255827,0.8407941663301234,35161.4,29563.5,2192.0,1909.0128
北京市,2019,454.50126,30.0,172452.05479452055,0.8734999999999999,263.68305778,1089.40378250647,2.2365936,0.84305610718352,37767.0,31839.7,2190.0,1912.965
北京市,2020,291.67506000000003,39.0,175895.84285061673,0.8755,114.3644,1032.77888,2.2264044,0.843960045294466,38503.6,32495.5,2189.0,1916.4695
北京市,2021,331.48341,50.7,202607.1265417999,0.875,149.59260991,1077.31190663,2.2319933,0.8231459706385694,44350.7,36507.1,2189.0,1915.375
北京市,2022,285.96312,71.03812504679895,207062.27106227106,0.8757,88.60912163,1017.05876016,2.2362788,0.8436217449759411,45222.4,38150.6,2184.0,1912.5288
北京市,2023,272.06208000000004,91.5519893851813,216622.59835315644,0.8783,295.37,1062.59632638,2.2433,0.8519883345968743,47353.7,40344.8,2186.0,1919.9638
吉林省,2012,865.91043,0.0,32732.765011119347,0.5454,536.21816,1596.10848,9.3208,0.48923714515416766,8831.3,4320.6,2698.0,1471.4892
吉林省,2013,731.0639699999999,0.0,36014.24287856072,0.5574,413.70833,1681.34804,9.4191,0.4981266781841267,9608.6,4786.3,2668.0,1487.1432
吉林省,2014,784.00818,0.0,38141.55942467827,0.5681,424.4740074,1703.810912,9.6041,0.49636796665674304,10077.0,5001.9,2642.0,1500.9202
吉林省,2015,725.0347800000001,0.0,38893.6088786835,0.5764,430.3086,1425.3461,9.7326,0.4973481978569109,10162.9,5054.5,2613.0,1506.1332
吉林省,2016,703.14102,0.0,41306.97312037398,0.5875,431.2732871,1478.517705,10.2484,0.5254962983920404,10603.5,5572.1,2567.0,1508.1125
吉林省,2017,796.4643599999999,0.5,43875.6927949327,0.5971,425.36222812,1634.654635,10.3895729,0.5406568618605071,11083.0,5992.1,2526.0,1508.2746
吉林省,2018,833.7028499999999,1.0,46044.28341384863,0.6084999999999999,427.27967008,1704.71421,10.5398933,0.5442757969468586,11437.4,6225.1,2484.0,1511.514
吉林省,2019,826.54605,1.5,48812.90849673202,0.6163,424.8877142,1802.72721825858,10.6659942,0.5439687348318745,11949.4,6500.1,2448.0,1508.7024
