province,year,transport_co2_mt,source_file,sheet,sector_label,transport_co2_10k_ton_direct
上海市,2012,40.17166093393535,2012年30个省份排放清单.xlsx,Shanghai2012,"Transportation, Storage, Post and Telecommunication Services",4017.166093393535
上海市,2013,40.128931154606555,2013年30个省份排放清单.xlsx,Shanghai2013,"Transportation, Storage, Post and Telecommunication Services",4012.8931154606553
上海市,2014,39.983618440173565,2014年30个省份排放清单.xlsx,Shanghai2014,"Transportation, Storage, Post and Telecommunication Services",3998.3618440173564
上海市,2015,41.930465585876085,2015年30个省份排放清单.xlsx,Shanghai2015,"Transportation, Storage, Post and Telecommunication Services",4193.046558587608
上海市,2016,46.638422043091836,2016年30个省份排放清单.xlsx,Shanghai2016,"Transportation, Storage, Post and Telecommunication Services",4663.842204309183
上海市,2017,51.01636685791441,2017年30个省份排放清单.xlsx,Shanghai2017,"Transportation, Storage, Post and Telecommunication Services",5101.636685791441
上海市,2018,49.91814999151117,2018年30个省份排放清单.xlsx,Shanghai2018,"Transportation, Storage, Post and Telecommunication Services",4991.814999151117
上海市,2019,51.85092439303329,2019年30个省份排放清单.xlsx,Shanghai2019,"Transportation, Storage, Post and Telecommunication Services",5185.092439303329
上海市,2020,43.185015803646685,2020年30个省份排放清单.xlsx,Shanghai2020,"Transportation, Storage, Post and Telecommunication Services",4318.501580364668
上海市,2021,45.28088630902766,2021年30个省份排放清单.xlsx,Shanghai2021,"Transportation, Storage, Post and Telecommunication Services",4528.0886309027655
上海市,2022,37.450508608716596,2022年30个省份排放清单.xlsx,Shanghai2022,"Transportation, Storage, Post and Telecommunication Services",3745.0508608716596
云南省,2012,19.70623060581294,2012年30个省份排放清单.xlsx,Yunnan2012,"Transportation, Storage, Post and Telecommunication Services",1970.623060581294
云南省,2013,18.67047143598508,2013年30个省份排放清单.xlsx,Yunnan2013,"Transportation, Storage, Post and Telecommunication Services",1867.0471435985078
云南省,2014,21.117958647238897,2014年30个省份排放清单.xlsx,Yunnan2014,"Transportation, Storage, Post and Telecommunication Services",2111.7958647238897
云南省,2015,20.439064296499183,2015年30个省份排放清单.xlsx,Yunnan2015,"Transportation, Storage, Post and Telecommunication Services",2043.9064296499182
云南省,2016,21.38980052259557,2016年30个省份排放清单.xlsx,Yunnan2016,"Transportation, Storage, Post and Telecommunication Services",2138.980052259557
云南省,2017,21.849516580288398,2017年30个省份排放清单.xlsx,Yunnan2017,"Transportation, Storage, Post and Telecommunication Services",2184.95165802884
云南省,2018,24.54902330195129,2018年30个省份排放清单.xlsx,Yunnan2018,"Transportation, Storage, Post and Telecommunication Services",2454.9023301951293
云南省,2019,26.727684291412952,2019年30个省份排放清单.xlsx,Yunnan2019,"Transportation, Storage, Post and Telecommunication Services",2672.768429141295
云南省,2020,25.561676809410294,2020年30个省份排放清单.xlsx,Yunnan2020,"Transportation, Storage, Post and Telecommunication Services",2556.167680941029
云南省,2021,26.360516666101326,2021年30个省份排放清单.xlsx,Yunnan2021,"Transportation, Storage, Post and Telecommunication Services",2636.0516666101325
云南省,2022,24.566410837355583,2022年30个省份排放清单.xlsx,Yunnan2022,"Transportation, Storage, Post and Telecommunication Services",2456.6410837355584
内蒙古自治区,2012,31.085839959929277,2012年30个省份排放清单.xlsx,InnerMongolia2012,"Transportation, Storage, Post and Telecommunication Services",3108.5839959929276
内蒙古自治区,2013,22.605759819986435,2013年30个省份排放清单.xlsx,InnerMongolia2013,"Transportation, Storage, Post and Telecommunication Services",2260.5759819986433
内蒙古自治区,2014,22.48999936215174,2014年30个省份排放清单.xlsx,InnerMongolia2014,"Transportation, Storage, Post and Telecommunication Services",2248.999936215174
内蒙古自治区,2015,22.696751526267548,2015年30个省份排放清单.xlsx,InnerMongolia2015,"Transportation, Storage, Post and Telecommunication Services",2269.675152626755
内蒙古自治区,2016,15.9534800883341,2016年30个省份排放清单.xlsx,InnerMongolia2016,"Transportation, Storage, Post and Telecommunication Services",1595.34800883341
内蒙古自治区,2017,16.541856866523077,2017年30个省份排放清单.xlsx,InnerMongolia2017,"Transportation, Storage, Post and Telecommunication Services",1654.1856866523076
内蒙古自治区,2018,15.851462835095539,2018年30个省份排放清单.xlsx,InnerMongolia2018,"Transportation, Storage, Post and Telecommunication Services",1585.146283509554
内蒙古自治区,2019,16.278623117569367,2019年30个省份排放清单.xlsx,InnerMongolia2019,"Transportation, Storage, Post and Telecommunication Services",1627.8623117569368
内蒙古自治区,2020,15.211498445780775,2020年30个省份排放清单.xlsx,InnerMongolia2020,"Transportation, Storage, Post and Telecommunication Services",1521.1498445780774
内蒙古自治区,2021,16.738173677221802,2021年30个省份排放清单.xlsx,InnerMongolia2021,"Transportation, Storage, Post and Telecommunication Services",1673.8173677221803
内蒙古自治区,2022,16.266542308082926,2022年30个省份排放清单.xlsx,InnerMongolia2022,"Transportation, Storage, Post and Telecommunication Services",1626.6542308082926
北京市,2012,19.404642707622216,2012年30个省份排放清单.xlsx,Beijing2012,"Transportation, Storage, Post and Telecommunication Services",1940.4642707622215
北京市,2013,20.43863363699718,2013年30个省份排放清单.xlsx,Beijing2013,"Transportation, Storage, Post and Telecommunication Services",2043.863363699718
北京市,2014,21.655011936039184,2014年30个省份排放清单.xlsx,Beijing2014,"Transportation, Storage, Post and Telecommunication Services",2165.501193603918
北京市,2015,22.167220464327578,2015年30个省份排放清单.xlsx,Beijing2015,"Transportation, Storage, Post and Telecommunication Services",2216.722046432758
北京市,2016,23.240390692753948,2016年30个省份排放清单.xlsx,Beijing2016,"Transportation, Storage, Post and Telecommunication Services",2324.039069275395
北京市,2017,24.598011450904615,2017年30个省份排放清单.xlsx,Beijing2017,"Transportation, Storage, Post and Telecommunication Services",2459.8011450904614
北京市,2018,26.47788507608394,2018年30个省份排放清单.xlsx,Beijing2018,"Transportation, Storage, Post and Telecommunication Services",2647.788507608394
北京市,2019,27.002422775226528,2019年30个省份排放清单.xlsx,Beijing2019,"Transportation, Storage, Post and Telecommunication Services",2700.242277522653
北京市,2020,17.53932616217491,2020年30个省份排放清单.xlsx,Beijing2020,"Transportation, Storage, Post and Telecommunication Services",1753.932616217491
