source_id,variable,source_level,source_name,source_url,cross_check_url,publish_date,access_date,evidence_file,is_primary,note
SRC_CASE02_STRICT_NBS_01,gdp_100m_cny,A,国家统计局-国家数据(地区生产总值),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_gdp_100m_cny.csv,1,指标代码=A020101; 单位=亿元
SRC_CASE02_STRICT_NBS_02,tertiary_value_added_100m_cny,A,国家统计局-国家数据(第三产业增加值),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_tertiary_value_added_100m_cny.csv,1,指标代码=A020104; 单位=亿元
SRC_CASE02_STRICT_NBS_03,resident_population_10k_person,A,国家统计局-国家数据(年末常住人口),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_resident_population_10k_person.csv,1,指标代码=A030101; 单位=万人
SRC_CASE02_STRICT_NBS_04,urban_population_10k_person,A,国家统计局-国家数据(城镇人口),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_urban_population_10k_person.csv,1,指标代码=A030102; 单位=万人
SRC_CASE02_STRICT_NBS_05,passenger_turnover_100m_pkm,A,国家统计局-国家数据(旅客周转量),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_passenger_turnover_100m_pkm.csv,1,指标代码=A0G0401; 单位=亿人公里
SRC_CASE02_STRICT_NBS_06,freight_turnover_100m_tkm,A,国家统计局-国家数据(货物周转量),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_freight_turnover_100m_tkm.csv,1,指标代码=A0G0601; 单位=亿吨公里
SRC_CASE02_STRICT_NBS_07,road_mileage_10k_km,A,国家统计局-国家数据(公路里程),https://data.stats.gov.cn/easyquery.htm?cn=E0103,,,2026-03-25,nbs_road_mileage_10k_km.csv,1,指标代码=A0G0203; 单位=万公里
SRC_CASE02_STRICT_CEADS_01,transport_co2_10k_ton_direct,A,CEADs 30个省份排放清单（分部门核算法）,https://www.ceads.net.cn/data/province/,https://www.ceads.net/user/index.php?id=1454&lang=cn,,2026-03-25,raw_ceads_sectoral_30prov/ceads_transport_co2_direct_30prov_2012_2022.csv,1,"从各年“30个省份排放清单”工作簿提取部门行 Transportation, Storage, Post and Telecommunication Services 的 Scope_1_Total；单位Mt，换算为万吨乘100。覆盖2012-2022，2023缺失。"
SRC_CASE02_STRICT_NEV_01,nev_stock_10k,A,待补：官方分省年度新能源汽车保有量,,,,2026-03-25,,1,严格口径下尚未找到覆盖30省2012-2023的官方统一源；当前已通过省级官方原文补齐2023年7省（京甘黔浙沪粤渝），其余留空待补。
SRC_CASE02_STRICT_NEV_2023_ZJ,nev_stock_10k,A,浙江省人民政府-2023年度浙江省文明出行现状发布,https://www.zj.gov.cn/art/2024/1/26/art_1554467_60195319.html,,2024-01-26,2026-03-25,nev_stock_strict_2023_partial.csv,1,原文明确“2023年…新能源汽车保有量达到…万辆”。
SRC_CASE02_STRICT_NEV_2023_SH,nev_stock_10k,A,上海市人民政府-燃油车以旧换新补贴 新能源汽车置换政策发布,https://www.shanghai.gov.cn/nw4411/20240303/210a0336b8c14e97a6de2c0672d969fc.html,,2024-03-03,2026-03-25,nev_stock_strict_2023_partial.csv,1,原文明确“截至2023年末…保有量…万辆”。
SRC_CASE02_STRICT_NEV_2023_GD,nev_stock_10k,A,广东省人民政府-广东省节能宣传周启动 去年新能源汽车保有量289万辆,http://www.gd.gov.cn/gdywdt/bmdt/content/post_4422331.html,,2024-05-14,2026-03-25,nev_stock_strict_2023_partial.csv,1,原文为“截至去年底…”，结合发布日期 2024-05-14，对应 2023 年底。
SRC_CASE02_STRICT_NEV_2023_CQ,nev_stock_10k,A,重庆市人民政府-重庆2025年底将建成超充站2040座,https://www.cq.gov.cn/zwgk/zfxxgkml/zcjd_120614/mtsj/202405/t20240509_13189834.html,,2024-05-09,2026-03-25,nev_stock_strict_2023_partial.csv,1,原文明确“2023年…新能源汽车…保有量达到…万辆”。
SRC_CASE02_STRICT_NEV_2023_BJ,nev_stock_10k,A,北京市发展改革委-北京加快布局新能源汽车超级充电站,https://fgw.beijing.gov.cn/gzdt/fgzs/mtbdx/bzwlxw/202408/t20240820_3777559.htm,,2024-08-20,2026-03-25,nev_stock_strict_2023_partial.csv,1,原文明确“2023年，北京全市新能源汽车保有量达到77.3万辆”。
SRC_CASE02_STRICT_NEV_2023_GZ,nev_stock_10k,A,贵州省发改委-2023年贵州省经济运行稳中向好,https://drc.guizhou.gov.cn/xwzx/zwyw/202401/t20240112_83529665.html,,2024-01-12,2026-03-25,nev_stock_strict_2023_partial.csv,1,原文为“截至2023年12月22日…新能源汽车保有量…万辆”，属2023年末近似口径（非12月31日）。
SRC_CASE02_STRICT_NEV_2023_GS,nev_stock_10k,A,景泰县人民政府-关于向社会发布全省机动车和驾驶人保有量等基本数据的公示,https://www.jingtai.gov.cn/zfxxgk/bmhxzxxgk/xzfzcbmzsjgml/xgaj/fdzdgknr/gsgg/art/2024/art_85e3c3c630264fbd9821d09e2249a038.html,,2024-02-28,2026-03-25,nev_stock_strict_2023_partial.csv,1,县级政府站转载省公安交管局公示原文；值为“辆”，已换算为“万辆”（÷10000）。
SRC_CASE02_STRICT_NEV_2023_TJ,nev_stock_10k,A,天津市人民政府-截至7月底 天津市累计建成公共充电桩7.2万台（政民互动回复）,https://www.tj.gov.cn/zmhd/wmfkxd/202408/t20240816_6700013.html,,2024-08-16,2026-03-26,nev_stock_strict_2023_partial.csv,1,天津政务问答页面中答复“经与市工信局了解，截至2023年底，我市新能源汽车保有量约为48万辆”。
SRC_CASE02_STRICT_NEV_2023_HN,nev_stock_10k,A,湖南省统计局-能源发展新跨越 节能降碳谱新篇,https://tjj.hunan.gov.cn/hntj/tjfx/jmxx/2024sjjd/202409/t20240929_33465665.html,,2024-09-29,2026-03-26,nev_stock_strict_2023_partial.csv,1,省统计局专题文中给出“2023年，新能源汽车保有量56.50万辆”。
SRC_CASE02_STRICT_NEV_2023_GX,nev_stock_10k,A,广西壮族自治区人民政府-广西大力实施新能源汽车推广应用提升行动,http://www.gxzf.gov.cn/gxyw/t19439729.shtml,,2024-12-31,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文口径为“截至11月底…保有量…万辆”，属2023年末近似口径（非12月31日）。
SRC_CASE02_STRICT_NEV_2023_HI,nev_stock_10k,A,海南省人民政府-多份提案关注新能源汽车,https://www.hainan.gov.cn/hainan/5309/202401/490e107fee4340c1aacb5edd1f841326.shtml,,2024-01-31,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文口径为“截至2023年10月底…保有量…万辆”，属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_AH,nev_stock_10k,A,安徽省发展改革委-《安徽省新能源汽车充换电基础设施建设运营管理办法（暂行）》政策解读,https://fzggw.ah.gov.cn/public/7011/148994711.html,,2023-12-13,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文明确“截至2023年11月底，我省新能源汽车保有量达到60.3万辆”，属2023年末近似口径（非12月31日）。
SRC_CASE02_STRICT_NEV_2023_SD,nev_stock_10k,A,山东省能源局-《山东省电动汽车充电基础设施发展白皮书》发布,http://nyj.shandong.gov.cn/art/2023/12/2/art_59966_10301975.html,,2023-12-02,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“截至2023年9月底…新能源汽车保有量165.9万辆”，属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_HE,nev_stock_10k,A,河北省工信厅-关于2023年工业领域生态环境保护工作情况的报告,https://gxt.hebei.gov.cn/hbgyhxxht/zfxxgk/fdzdgknr/gzdt68/tzgg9917/2025042121501226167/index.html,,2025-04-21,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“2023年，全年新能源车推广30.4万辆，保有量达到80.8万辆”。
SRC_CASE02_STRICT_NEV_2023_HA,nev_stock_10k,A,河南省住建厅-对省十四届人大二次会议第858号建议的答复,https://hnjs.henan.gov.cn/2024/08-12/3035341.html,,2024-08-12,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“截至2023年底，我省电动汽车保有量达到114万辆”；该来源为“电动汽车”口径，可能与“新能源汽车”统计口径存在差异。
SRC_CASE02_STRICT_NEV_2023_SC,nev_stock_10k,A,四川省人民政府-@新能源车主，四川将这样缓解你的“里程焦虑”,https://www.sc.gov.cn/10462/10464/13298/13299/2024/6/28/08e35bde8718453d9a27934e8c9bea17.shtml,,2024-06-28,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“四川省电动汽车保有量快速增长，2023年底数量达89.63万辆”；该来源为“电动汽车”口径，可能与“新能源汽车”统计口径存在差异。
SRC_CASE02_STRICT_NEV_2023_YN,nev_stock_10k,A,云南省能源局-《云南省推进新能源发展工作情况》政策解读,https://nyj.yn.gov.cn/nyj_file/html/xzgfwjjd/2024/1217/000027.html,,2024-12-22,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“2023年10月底，我省新能源汽车保有量达到32.6万辆”，属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_NX,nev_stock_10k,A,银川市人民政府-截至9月底 宁夏机动车保有量达226万辆,https://yinchuan.gov.cn/xwzx/mrdt/202311/t20231101_4335710.html,,2023-11-01,2026-03-26,nev_stock_strict_2023_partial.csv,1,银川市政府转载公安交管统计口径，原文给出“截至9月底，宁夏新能源汽车保有量达4.3万辆”，属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_SX,nev_stock_10k,A,山西省人民政府-让出行更加便捷绿色低碳,http://www.shanxi.gov.cn/ywdt/sxyw/202308/t20230807_9078335.shtml,,2023-08-07,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“截至目前，我省…新能源汽车保有量约34.64万辆”；发布日期为2023-08-07，属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_NM,nev_stock_10k,A,巴彦淖尔市科技局-前三季度全区累计推广应用新能源汽车27850辆（转载）,http://kjj.bynr.gov.cn/kjxx/gnkj/202311/t20231114_574040_senior.html,,2023-11-14,2026-03-26,nev_stock_strict_2023_partial.csv,1,巴彦淖尔市科技局转载稿原文给出“截至今年9月30日，全区新能源汽车保有量为82998辆”；值为“辆”，已换算为“万辆”（÷10000）。属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_SN,nev_stock_10k,A,陕西省人民政府-如何缓解新能源汽车“里程焦虑”？,https://www.shaanxi.gov.cn/xw/sxyw/202308/t20230811_2296960_wap.html,,2023-08-11,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“目前，我省电动汽车保有量39.77万辆，全国排名第16位”；属2023年内时点口径（非年末），且为“电动汽车”口径。
SRC_CASE02_STRICT_NEV_2023_XJ,nev_stock_10k,A,新疆维吾尔自治区人民政府-新疆首批“光储充放”一体化试点项目并网,https://www.xinjiang.gov.cn/xinjiang/bmdt/202310/2339a216530641b7adab3da6bd6bbe48.shtml,,2023-10-18,2026-03-26,nev_stock_strict_2023_partial.csv,1,原文给出“目前新疆新能源汽车保有量在5万辆左右，并逐年增加”；属2023年内时点口径（非年末）。
SRC_CASE02_STRICT_NEV_2023_JS,nev_stock_10k,A,江苏省政协-关于在大力推动充电桩建设的同时加强安全监管的提案,http://www.jszx.gov.cn/wylz/zxta/2023ta/202301/t20230116_94117.html,,2023-01-16,2026-03-26,nev_stock_strict_2023_partial.csv,1,江苏省政协提案页面原文给出“目前，我省电动汽车保有量33.4万辆”；属2023年年初时点口径（非年末），且为“电动汽车”口径。
