province,year,resident_population_10k_person
上海市,2015,2458.0
上海市,2016,2467.0
上海市,2017,2466.0
上海市,2018,2475.0
上海市,2019,2481.0
上海市,2020,2488.0
上海市,2021,2489.0
上海市,2022,2475.0
上海市,2023,2487.0
云南省,2015,4663.0
云南省,2016,4677.0
云南省,2017,4693.0
云南省,2018,4703.0
云南省,2019,4714.0
云南省,2020,4722.0
云南省,2021,4690.0
云南省,2022,4693.0
云南省,2023,4673.0
内蒙古自治区,2015,2440.0
内蒙古自治区,2016,2436.0
内蒙古自治区,2017,2433.0
内蒙古自治区,2018,2422.0
内蒙古自治区,2019,2415.0
内蒙古自治区,2020,2403.0
内蒙古自治区,2021,2400.0
内蒙古自治区,2022,2401.0
内蒙古自治区,2023,2396.0
北京市,2015,2188.0
北京市,2016,2195.0
北京市,2017,2194.0
北京市,2018,2192.0
北京市,2019,2190.0
北京市,2020,2189.0
北京市,2021,2189.0
北京市,2022,2184.0
北京市,2023,2186.0
吉林省,2015,2613.0
吉林省,2016,2567.0
吉林省,2017,2526.0
吉林省,2018,2484.0
吉林省,2019,2448.0
吉林省,2020,2399.0
吉林省,2021,2375.0
吉林省,2022,2348.0
吉林省,2023,2339.0
四川省,2015,8196.0
四川省,2016,8251.0
四川省,2017,8289.0
四川省,2018,8321.0
四川省,2019,8351.0
四川省,2020,8371.0
四川省,2021,8372.0
四川省,2022,8374.0
四川省,2023,8368.0
天津市,2015,1439.0
天津市,2016,1443.0
天津市,2017,1410.0
天津市,2018,1383.0
天津市,2019,1385.0
天津市,2020,1387.0
天津市,2021,1373.0
天津市,2022,1363.0
天津市,2023,1364.0
宁夏回族自治区,2015,684.0
宁夏回族自治区,2016,695.0
宁夏回族自治区,2017,705.0
宁夏回族自治区,2018,710.0
宁夏回族自治区,2019,717.0
宁夏回族自治区,2020,721.0
宁夏回族自治区,2021,725.0
宁夏回族自治区,2022,728.0
宁夏回族自治区,2023,729.0
安徽省,2015,6011.0
安徽省,2016,6033.0
安徽省,2017,6057.0
安徽省,2018,6076.0
安徽省,2019,6092.0
安徽省,2020,6105.0
安徽省,2021,6113.0
安徽省,2022,6127.0
安徽省,2023,6121.0
山东省,2015,9866.0
山东省,2016,9973.0
山东省,2017,10033.0
山东省,2018,10077.0
山东省,2019,10106.0
山东省,2020,10165.0
山东省,2021,10170.0
山东省,2022,10163.0
山东省,2023,10123.0
山西省,2015,3519.0
山西省,2016,3514.0
山西省,2017,3510.0
山西省,2018,3502.0
山西省,2019,3497.0
山西省,2020,3490.0
山西省,2021,3480.0
山西省,2022,3481.0
山西省,2023,3466.0
广东省,2015,11678.0
广东省,2016,11908.0
广东省,2017,12141.0
广东省,2018,12348.0
广东省,2019,12489.0
广东省,2020,12624.0
广东省,2021,12684.0
广东省,2022,12657.0
广东省,2023,12706.0
广西壮族自治区,2015,4811.0
广西壮族自治区,2016,4857.0
广西壮族自治区,2017,4907.0
广西壮族自治区,2018,4947.0
广西壮族自治区,2019,4982.0
广西壮族自治区,2020,5019.0
广西壮族自治区,2021,5037.0
广西壮族自治区,2022,5047.0
广西壮族自治区,2023,5027.0
新疆维吾尔自治区,2015,2385.0
新疆维吾尔自治区,2016,2428.0
新疆维吾尔自治区,2017,2480.0
新疆维吾尔自治区,2018,2520.0
新疆维吾尔自治区,2019,2559.0
新疆维吾尔自治区,2020,2590.0
新疆维吾尔自治区,2021,2589.0
新疆维吾尔自治区,2022,2587.0
新疆维吾尔自治区,2023,2598.0
江苏省,2015,8315.0
江苏省,2016,8381.0
江苏省,2017,8423.0
江苏省,2018,8446.0
江苏省,2019,8469.0
江苏省,2020,8477.0
江苏省,2021,8505.0
江苏省,2022,8515.0
江苏省,2023,8526.0
江西省,2015,4485.0
江西省,2016,4496.0
江西省,2017,4511.0
江西省,2018,4513.0
江西省,2019,4516.0
江西省,2020,4519.0
江西省,2021,4517.0
江西省,2022,4528.0
江西省,2023,4515.0
河北省,2015,7345.0
河北省,2016,7375.0
河北省,2017,7409.0
河北省,2018,7426.0
河北省,2019,7447.0
河北省,2020,7464.0
河北省,2021,7448.0
河北省,2022,7420.0
河北省,2023,7393.0
河南省,2015,9701.0
河南省,2016,9778.0
河南省,2017,9829.0
河南省,2018,9864.0
河南省,2019,9901.0
河南省,2020,9941.0
河南省,2021,9883.0
河南省,2022,9872.0
河南省,2023,9815.0
浙江省,2015,5985.0
浙江省,2016,6072.0
浙江省,2017,6170.0
浙江省,2018,6273.0
浙江省,2019,6375.0
浙江省,2020,6468.0
浙江省,2021,6540.0
浙江省,2022,6577.0
浙江省,2023,6627.0
海南省,2015,945.0
海南省,2016,957.0
海南省,2017,972.0
海南省,2018,982.0
海南省,2019,995.0
海南省,2020,1012.0
海南省,2021,1020.0
海南省,2022,1027.0
海南省,2023,1043.0
湖北省,2015,5850.0
湖北省,2016,5885.0
湖北省,2017,5904.0
湖北省,2018,5917.0
湖北省,2019,5927.0
湖北省,2020,5745.0
湖北省,2021,5830.0
湖北省,2022,5844.0
湖北省,2023,5838.0
湖南省,2015,6615.0
湖南省,2016,6625.0
湖南省,2017,6633.0
湖南省,2018,6635.0
湖南省,2019,6640.0
湖南省,2020,6645.0
湖南省,2021,6622.0
湖南省,2022,6604.0
湖南省,2023,6568.0
甘肃省,2015,2523.0
甘肃省,2016,2520.0
甘肃省,2017,2522.0
甘肃省,2018,2515.0
甘肃省,2019,2509.0
甘肃省,2020,2501.0
甘肃省,2021,2490.0
甘肃省,2022,2492.0
甘肃省,2023,2465.0
福建省,2015,3984.0
福建省,2016,4016.0
福建省,2017,4065.0
福建省,2018,4104.0
福建省,2019,4137.0
福建省,2020,4161.0
福建省,2021,4187.0
福建省,2022,4188.0
福建省,2023,4183.0
贵州省,2015,3708.0
贵州省,2016,3758.0
贵州省,2017,3803.0
贵州省,2018,3822.0
贵州省,2019,3848.0
贵州省,2020,3858.0
贵州省,2021,3852.0
贵州省,2022,3856.0
贵州省,2023,3865.0
辽宁省,2015,4338.0
辽宁省,2016,4327.0
辽宁省,2017,4312.0
辽宁省,2018,4291.0
辽宁省,2019,4277.0
辽宁省,2020,4255.0
辽宁省,2021,4229.0
辽宁省,2022,4197.0
辽宁省,2023,4182.0
重庆市,2015,3070.0
重庆市,2016,3110.0
重庆市,2017,3144.0
重庆市,2018,3163.0
重庆市,2019,3188.0
重庆市,2020,3209.0
重庆市,2021,3212.0
重庆市,2022,3213.0
重庆市,2023,3191.0
陕西省,2015,3846.0
陕西省,2016,3874.0
陕西省,2017,3904.0
陕西省,2018,3931.0
陕西省,2019,3944.0
