province,year,status,value_10k_person,source_url,evidence,error
天津市,2024,skipped_already_filled,1364,https://www.tj.gov.cn/sq/tjgb/202503/t20250324_6890361.html,,
山西省,2024,skipped_already_filled,3445.96,http://tjj.shanxi.gov.cn/tjsj/tjgb/ndtjgb/202503/t20250327_9797517.shtml,,
内蒙古自治区,2024,skipped_already_filled,2388,https://www.nmg.gov.cn/asnmg/shjj/rk/index_2383.html,,
辽宁省,2024,skipped_already_filled,4155,https://www.ln.gov.cn/web/sqgk/rkymz/2025101310563144642/index.shtml,,
吉林省,2024,skipped_already_filled,2317.31,https://tjj.jl.gov.cn/tjsj/tjgb/ndgb/202503/t20250324_3419691.html,,
黑龙江省,2024,skipped_already_filled,3029,https://www.hlj.gov.cn/hlj/c108419/202504/c00_31866784.shtml,,
上海市,2024,skipped_already_filled,2480.26,https://tjj.sh.gov.cn/tjgb/20250324/a7fe18c6d5c24d66bfca89c5bb4cdcfb.html,,
江苏省,2024,skipped_already_filled,8526,https://www.jiangsu.gov.cn/col/col88749/index.html,,
福建省,2024,skipped_already_filled,4193,https://www.fujian.gov.cn/zwgk/sjfb/tjgb/202503/t20250313_6779048.htm,,
山东省,2024,skipped_already_filled,10080.17,http://tjj.shandong.gov.cn/art/2025/3/5/art_104039_10316728.html,,
湖北省,2024,skipped_already_filled,5834,https://tjj.hubei.gov.cn/tjsj/tjgb/ndtjgb/qstjgb/202503/t20250321_5585085.shtml,,
湖南省,2024,skipped_already_filled,6539,http://www.hunan.gov.cn/hnszf/zfsj/tjgb/202503/t20250321_33620617.html,,
广西壮族自治区,2024,ok,5013,http://tjj.gxzf.gov.cn/tjsj/tjgb/qqgb/t19769919.shtml,41.4% 和 41.2% 。按常住人口计算，全年人均地区生产总值 57071 元，比上年增长 4.5% 。 图 1 2020 — 2024 年广西生产总值及其增长速度 图 2 2020 — 2024 年广西三次产业增加值占 GDP 比重 年末全区常住人口 [3] 5013 万人，比上年末减少 14 万人，其中城镇人口 2877 万人，占常住人口比重（常住人口城镇化率）为 57.39% ，比上年末提高 0.61 个百分点。全年出生人口 42.0 万人，出生率为 8.37‰ ；死亡人口 37.6 万人，死亡率为 7.49‰ ；自然增长率为 0.88‰ 。 图 3 2020 — 2024 年年末广西常住人口城镇化率 表 1 2024 年年末广西常住人口数及其构成 指 标 年末,
重庆市,2024,skipped_already_filled,3190.47,https://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,,
云南省,2024,skipped_already_filled,4655,https://www.ynrd.gov.cn/html/2025/yaowenzixun_0408/4032748.html,,
甘肃省,2024,skipped_already_filled,2458.34,https://www.gansu.gov.cn/gsszf/gsyw/202503/174095898.shtml,,
宁夏回族自治区,2024,skipped_already_filled,729,https://szb.nxrb.cn/nxrb/pad/con/202504/25/content_157253.html,,
新疆维吾尔自治区,2024,skipped_already_filled,2622.8,https://www.xinjiang.gov.cn/xinjiang/tjgb/202503/f0578f74e4e04369af0ee82566586397.shtml,,
