province,year,resident_population_10k_person,source_level_suggest,source_url,search_engine,search_query,confidence,evidence_sentence,rule_flags
北京市,2024,2183.2,B-候选,https://www.beijing.gov.cn/renwen/bjgk/rk/202503/t20250325_4043973.html,google,北京市 2024年末常住人口 万人 site:gov.cn,41,人口_人口_首都之窗_北京市人民政府门户网站 人文北京 > 北京概况 > 人口 人口 日期：2025-03-25 14:44 来源：北京市统计局 国家统计局北京调查总队 分享： X 字号： 大 中 小 人口 人口 2024年年末全市常住人口2183.2万人，比上年末减少2.6万人。,year=2024;scope;explicit_province;host+4
河北省,2024,7378,A-候选,http://tjj.hebei.gov.cn/hbstjj/sj/fbh/101758793797686.html,google,河北省 2024年末常住人口 万人 site:gov.cn,47,2024年末，全省常住人口7378万人，从净流出转变为净流入2万人，一大批创业者、奋斗者扎根河北。,year=2024;scope;explicit_province;host+10
浙江省,2024,6670,A-候选,http://tjj.zj.gov.cn/art/2025/3/1/art_1229129205_5469687.html,sogou,浙江省 2024年末常住人口 万人 site:gov.cn,47,现将根据人口变动抽样调查数据推算的浙江省2024年人口主要数据公布如下： 一、常住人口 2024年末，全省常住人口为6670万人，与2023年末常住人口6627万人相比，增加43万人。,year=2024;scope;explicit_province;host+10
安徽省,2024,6123,B-候选,http://www.ahjgbzw.gov.cn/special/detail/?_id=67f330607f8b9add4a8b4576,google,安徽省 2024 统计公报 常住人口 万人 site:gov.cn,51,根据《安徽省2024年国民经济和社会发展统计公报》，安徽年末全省常住人口6123万人，比上年末增加2万人。,year=2024;scope;explicit_province;host+4;bulletin_like
江西省,2024,4502.01,B-候选,https://gzjkq.ganzhou.gov.cn/jkqxxgk/tjxx/202502/5965234c199049a39b1cf075030ae0cf.shtml,google,江西省 2024年末常住人口 万人 site:gov.cn,41,2024年江西省常住人口数据公布 | 经济技术开发区管委会信息公开 关怀版 无障碍 无障碍 赣州经济技术开发区 您当前所在位置： 首页>法定主动公开内容>重点领域信息> 统计信息 索 引 号： 文件编号： 分 类： 生成日期： 2025-02-20 公开方式： 公开时限： 公开范围： 责任部门： 2024年江西省常住人口数据公布 访问量： 江西省统计局发布数据，2024年末， 江西全省常住人口4502.01万人，比上年末减少13.00万人。,year=2024;scope;explicit_province;host+4
河南省,2024,9785,A-候选,https://tjj.henan.gov.cn/2025/04-02/3143962.html,google,河南省 2024年末常住人口 万人 site:gov.cn,50,图1 2020-2024年河南省三次产业增加值占地区生产总值比重 年末全省常住人口9785万人，其中城镇常住人口5795万人，乡村常住人口3990万人；,year=2024;scope;explicit_province;host+10
广东省,2024,12780,B-候选,http://www.qb.gd.gov.cn/tzgd/content/post_1285920.html,google,广东省 2024年末常住人口 万人 site:gov.cn,47,3月26日，广东省统计局与国家统计局广东调查总队联合发布的2024年广东省国民经济和社会发展统计公报显示，2024年末，全省常住人口12780万人，比上年末增加74万人。,year=2024;scope;explicit_province;host+4;bulletin_like
海南省,2024,1048.31,B-候选,https://geo.hainan.gov.cn/sdzj/hygq/202504/201d4bbad0c24dd095a083dcbce38f49.shtml,google,海南省 2024年末常住人口 万人 site:gov.cn,37,海南2024年常住人口1048.31万人 较上年增加5.1万人_回应关切_海南省地质局 关怀版 首页 | 机构介绍 | 要闻动态 | 信息公开 | 政务服务 | 互动交流 | 地质主业 | 数据 数据发布 网站首页 机构介绍 要闻动态 信息公开 解读回应 办事服务 互动交流 数据开放 地质主业 网站首页 机构介绍 要闻动态 信息公开 解读回应 办事服务 互动交流 数据开放 地质主业 首页 > 解读回应 > 回应关切 海南2024年常住人口1048.31万人 较上年增加5.1万人 2025-04-10 14:44 来,year=2024;explicit_province;host+4
四川省,2024,8364,B-候选,https://www.scls.gov.cn/lsxrmzf/c116485/pc/content/content_1903247949427687424.html,google,四川省 常住人口 2024 统计局 site:gov.cn,44,根据公报，四川2024年末全省常住人口8364万人，比上年末减少4万人；,year=2024;scope;explicit_province;host+4
贵州省,2024,3860,B-候选,http://nynct.guizhou.gov.cn/zwgk/xxgkml/ghjh/202505/t20250529_87943874.html,google,贵州省 2024年末常住人口 万人 site:gov.cn,33,2024年，贵州省常住人口3860万人，其中乡村常住人口1673万人，占43.3％。,year=2024;explicit_province;host+4
陕西省,2024,3953,B-候选,http://www.shaanxi.gov.cn/sq/sxgk/rkhmz/202011/t20201120_2046834_wap.html,sogou,陕西省 2024 统计公报 常住人口 万人 site:gov.cn,44,人口和民族_陕西省人民政府 无障碍阅读 长者模式 首页 省政府 省长 新闻 政策 互动 服务 数据 省情 首页 > 省情 > 陕西概况 > 人口和民族 人口和民族 来源: 陕西省地方志 发布时间: 2026-01-05 17:34 2024年末全省常住人口 3953万人，比上年末增加1万人。,year=2024;scope;explicit_province;host+4
青海省,2024,593,B-候选,http://www.qinghai.gov.cn/zwgk/system/2025/01/22/030063696.shtml,sogou,青海省 2024年末常住人口 万人 site:gov.cn,41,【省统计局】2024年末我省常住人口为593万人-政务公开-青海省人民政府网 中央人民政府网站 | 省委 | 省人大 | 省政府 | 省政协 藏文版 | 设为首页 | 加入收藏 | 无障碍阅读 | 进入关怀版 首页 欢迎您访问青海省人民政府网站，您在访问过程中对网站有任何意见或者建议请联系我们。,year=2024;scope;explicit_province;host+4
