source_id,variable,source_level,source_name,source_url,cross_check_url,publish_date,access_date,evidence_file,is_primary,note
SRC_CASE03_POP2024_SHORT_01,resident_population_10k_person,B,www.beijing.gov.cn（2024人口发布）,https://www.beijing.gov.cn/renwen/bjgk/rk/202503/t20250325_4043973.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=41; query=北京市 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_02,resident_population_10k_person,A,tjj.hebei.gov.cn（2024人口发布）,http://tjj.hebei.gov.cn/hbstjj/sj/fbh/101758793797686.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=47; query=河北省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_03,resident_population_10k_person,A,tjj.zj.gov.cn（2024人口发布）,http://tjj.zj.gov.cn/art/2025/3/1/art_1229129205_5469687.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=47; query=浙江省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_04,resident_population_10k_person,B,www.ahjgbzw.gov.cn（2024人口发布）,http://www.ahjgbzw.gov.cn/special/detail/?_id=67f330607f8b9add4a8b4576,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=51; query=安徽省 2024 统计公报 常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_05,resident_population_10k_person,B,gzjkq.ganzhou.gov.cn（2024人口发布）,https://gzjkq.ganzhou.gov.cn/jkqxxgk/tjxx/202502/5965234c199049a39b1cf075030ae0cf.shtml,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=41; query=江西省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_06,resident_population_10k_person,A,tjj.henan.gov.cn（2024人口发布）,https://tjj.henan.gov.cn/2025/04-02/3143962.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=50; query=河南省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_07,resident_population_10k_person,B,www.qb.gd.gov.cn（2024人口发布）,http://www.qb.gd.gov.cn/tzgd/content/post_1285920.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=47; query=广东省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_08,resident_population_10k_person,B,geo.hainan.gov.cn（2024人口发布）,https://geo.hainan.gov.cn/sdzj/hygq/202504/201d4bbad0c24dd095a083dcbce38f49.shtml,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=37; query=海南省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_09,resident_population_10k_person,B,www.scls.gov.cn（2024人口发布）,https://www.scls.gov.cn/lsxrmzf/c116485/pc/content/content_1903247949427687424.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=44; query=四川省 常住人口 2024 统计局 site:gov.cn
SRC_CASE03_POP2024_SHORT_10,resident_population_10k_person,B,nynct.guizhou.gov.cn（2024人口发布）,http://nynct.guizhou.gov.cn/zwgk/xxgkml/ghjh/202505/t20250529_87943874.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=33; query=贵州省 2024年末常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_11,resident_population_10k_person,B,www.shaanxi.gov.cn（2024人口发布）,http://www.shaanxi.gov.cn/sq/sxgk/rkhmz/202011/t20201120_2046834_wap.html,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=44; query=陕西省 2024 统计公报 常住人口 万人 site:gov.cn
SRC_CASE03_POP2024_SHORT_12,resident_population_10k_person,B,www.qinghai.gov.cn（2024人口发布）,http://www.qinghai.gov.cn/zwgk/system/2025/01/22/030063696.shtml,,,2026-03-27,population_2024_shortlist_review.csv,0,短名单自动回填（待人工二审）; confidence=41; query=青海省 2024年末常住人口 万人 site:gov.cn
